link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
10035AB,12407,12408,1/1/2018,6,1,1400_1800,866.75,216.6875,34.978125,6.200250995292608,0,0,153.0,134.5,5.665032679738562,0.25,117.21100842771692,0.0003782366804384711
10040AB,12389,12417,1/1/2018,6,1,1400_1800,1547.2619047666667,386.8154761916667,33.010394029375,11.84769695161744,0,0,467.1666666666667,310.6666666666667,3.312012639529076,0.25,1426.0255578657557,0.001992279089918851
10127AB,9854,9807,1/1/2018,6,1,1400_1800,1076.0238095,269.005952375,38.602428544375,6.963196333655969,0,0,239.6666667,233.42857146666665,4.489668189222577,0.25,0.0,0.0
10127BA,9807,9854,1/1/2018,6,1,1400_1800,686.0,171.5,22.423778983749997,7.7474727254236075,5,5,175.83333333333334,158.66666666666666,3.901421800947867,0.25,6073.4035793746025,0.016613608355694708
10184AB,12465,12459,1/1/2018,6,1,1400_1800,1565.4999999000001,391.37499997500004,39.246186594375004,9.962253833070466,0,0,367.3333333,295.1111112,4.261796733326842,0.25,0.0,0.0
10184BA,12459,12465,1/1/2018,6,1,1400_1800,980.5,245.125,26.725752163125,9.400157252812768,0,0,248.33333333333331,238.66666666666666,3.948322147651007,0.25,5278.447965059793,0.009599132850798331
10210AB,12531,12415,1/1/2018,6,1,1400_1800,1022.0,454.22222222222223,19.511198057777776,23.9505069687725,4,7,521.25,507.75,1.9606714628297361,1.0,429.06849973740805,0.02347330268271831
10210BA,12415,12531,1/1/2018,6,1,1400_1800,1334.25,533.7,19.450486325,28.946161752336383,5,8,569.0,559.75,2.344903339191564,1.0,509.146262039554,0.02526655064461089
10222AB,12537,12538,1/1/2018,6,1,1400_1800,1685.375,421.34375,38.5890625,10.96664180032244,0,0,514.0,290.5,3.2789396887159534,0.25,0.0,0.0
10226AB,12545,12546,1/1/2018,6,1,1400_1800,1742.375,435.59375,42.42578125,10.526254334102992,0,0,536.125,271.0,3.2499417113546283,0.25,34.06059203953949,5.455071244544942e-05
10239AB,12460,12534,1/1/2018,6,1,1400_1800,1759.5,439.875,27.44220826875,16.056131292959954,0,0,342.0,235.0,5.144736842105263,0.25,4343.624697975021,0.008022356490054339
10239BA,12534,12460,1/1/2018,6,1,1400_1800,1921.0,480.25,24.727983549999998,19.83084794915743,14,14,493.0,499.0,3.896551724137931,0.25,14231.504149407298,0.012378493227259466
10332AB,9844,9798,1/1/2018,6,1,1400_1800,1404.3333333333333,351.0833333333333,21.16620434875,16.68738593014939,12,12,357.00000000000006,362.6666666666667,3.9337068160597566,0.25,15795.211761575098,0.0189032003503838
10386AB,9834,9795,1/1/2018,6,1,1400_1800,2110.25,527.5625,26.7111856225,19.920906104928132,0,0,530.5,475.0,3.977851083883129,0.25,9917.962141019303,0.009062465406633136
10420AB,12653,12577,1/1/2018,6,1,1400_1800,1372.4444444,343.1111111,29.797660784374997,11.552673581685445,0,0,372.44444443333333,273.7777777333334,3.684964200467929,0.25,3172.3462012239625,0.005029211587070936
10420BA,12577,12653,1/1/2018,6,1,1400_1800,1163.8333333333333,310.35555555555555,20.823837646666668,14.975738168001177,12,13,357.1666666666667,359.6666666666667,3.2585160989267377,0.5,2035.1404590652635,0.01964724724923988
10493AB,12573,12578,1/1/2018,6,1,1400_1800,1971.75,492.9375,22.95443114,21.601986539679427,6,6,498.25,459.0,3.9573507275464124,0.25,16190.923455690416,0.01531004472253466
10493BA,12578,12573,1/1/2018,6,1,1400_1800,1254.0,501.6,22.753089753999998,22.267936282364168,0,1,447.0,441.5,2.8053691275167787,0.5,2023.240779169843,0.01591198549114322
10998BA,12918,12914,1/1/2018,6,1,1400_1800,1289.3333333333335,368.3809523809524,26.97438460071429,13.732257830933253,0,0,376.1666666666667,332.6666666666667,3.4275587062472312,0.25,6619.320379084878,0.00863617910180371
11339AB,13097,38071,1/1/2018,6,1,1400_1800,1089.25,272.3125,31.115664029375,8.80560712694987,0,0,338.0,201.0,3.2226331360946747,0.25,1686.5377378742357,0.003641812072178681
11339BA,38071,13097,1/1/2018,6,1,1400_1800,1632.25,408.0625,31.027186,13.347826272416512,0,0,541.0,195.0,3.017097966728281,0.25,1724.867761581886,0.0038391821616405937
11809AB,13379,13383,1/1/2018,6,1,1400_1800,1247.5,332.6666666666667,27.099014302666667,12.601596584018269,0,0,449.5,170.0,2.7753058954393772,0.25,3379.15745492085,0.008627342358355928
11809BA,13383,13379,1/1/2018,6,1,1400_1800,954.0,238.5,26.6170429125,9.187313261572148,0,0,277.75,190.0,3.4347434743474348,0.25,4241.978384469998,0.009690191850488847
11833AB,9423,8563,1/1/2018,6,1,1400_1800,1419.25,354.8125,11.144451682562499,33.047996809291305,0,15,1419.25,354.8125,1.0,4.0,12.700839973585591,0.06363719165517609
11833BA,8563,9423,1/1/2018,6,1,1400_1800,1023.0,255.75,23.616343791875,11.042508552504266,2,4,174.5,176.33333333333334,5.862464183381089,0.75,226.2795107178237,0.015038070035299604
11899BA,13411,28044,1/1/2018,6,1,1400_1800,1257.8333333333333,359.38095238095235,29.147182487857144,12.422406612546228,0,0,366.5,317.3333333333333,3.432014552069122,0.25,4366.940398764209,0.00597281545261649
13597AB,14394,14395,1/1/2018,6,1,1400_1800,686.75,171.6875,21.793319205000003,7.967735653803862,3,4,172.25,181.0,3.9869375907111757,0.5,937.9202549203512,0.017992638407772238
13597BA,14395,14394,1/1/2018,6,1,1400_1800,1319.25,329.8125,21.793319205000003,15.257698804281274,3,4,264.25,267.5,4.992431409649953,0.5,1386.152862934773,0.017992638407772238
13598AB,14396,14397,1/1/2018,6,1,1400_1800,1313.0,328.25,31.172850998125,10.584564367900143,0,0,321.6666666666667,310.6666666666667,4.081865284974093,0.25,2638.494650018266,0.0036862016189677578
13730BA,14478,14402,1/1/2018,6,1,1400_1800,1015.5,369.27272727272725,23.705042456363632,16.070082656086143,10,10,292.66666666666663,397.3333333333333,3.469817767653759,0.25,13509.427956388505,0.014757047806108108
13801AB,14384,14442,1/1/2018,6,1,1400_1800,1366.5,341.625,25.868486614375,13.434027429314666,12,12,340.8333333333333,347.3333333333333,4.009290953545232,0.25,8517.953234663284,0.010644035451984472
13816BA,14401,14553,1/1/2018,6,1,1400_1800,1178.0,362.46153846153845,28.07325733384615,13.086098782790343,0,0,368.16666666666663,334.6666666666667,3.199637845178814,0.25,5836.882659655461,0.00756982831649374
13841AB,14534,14545,1/1/2018,6,1,1400_1800,1605.0,401.25,24.211142555000002,16.747965081830017,9,9,397.0,413.0,4.0428211586901766,0.25,12523.302615833782,0.013160923014016872
13896BA,14385,14537,1/1/2018,6,1,1400_1800,2004.75,501.1875,23.397576448125,21.75401382021182,4,4,483.25,489.0,4.148473874806001,0.25,16855.26586713234,0.014960436785613658
13902BA,13991,13977,1/1/2018,6,1,1400_1800,1714.5,428.625,27.6655612475,15.649346967395644,0,0,452.5,361.0,3.788950276243094,0.25,6647.767680736478,0.007992564636157854
15016BA,15149,15148,1/1/2018,6,1,1400_1800,1442.8333333333333,360.7083333333333,27.188103721250002,13.312626205953915,0,0,371.16666666666663,339.3333333333333,3.8872923215087565,0.25,6512.399355565552,0.008329751140366057
15125AB,15135,15224,1/1/2018,6,1,1400_1800,904.0,226.0,27.53823930875,8.261906995838121,0,0,202.5,176.0,4.4641975308641975,0.25,3319.5188794972946,0.008186155696361304
15125BA,15224,15135,1/1/2018,6,1,1400_1800,1293.0,323.25,26.585158524375,12.374411566930373,0,0,231.75,213.0,5.5792880258899675,0.25,4685.891275490654,0.00954838956436378
40130AB,37144,11052,1/1/2018,6,1,1400_1800,1438.0,359.5,22.742623438125,15.92721030312622,10,10,376.25,364.0,3.821926910299003,0.25,13156.059716457677,0.01568707517320293
40130BA,11052,37144,1/1/2018,6,1,1400_1800,785.1666666666666,348.96296296296293,16.721143643333335,21.190169596004694,4,8,441.49999999999994,353.19999999999993,1.7784069460173653,1.25,210.91778723068296,0.03239813791249275
5545BA,9832,9831,1/1/2018,6,1,1400_1800,1795.75,552.5384615384615,12.098744220230769,47.529732004408274,0,12,1795.75,552.5384615384615,1.0,3.25,33.163929399724005,0.0572335981600991
5553AB,9846,9847,1/1/2018,6,1,1400_1800,1869.25,467.3125,17.669434832500002,26.88580622472835,0,5,577.75,385.1666666666667,3.2353959324967545,1.5,119.64300302284806,0.029121241540611
5553BA,9847,9846,1/1/2018,6,1,1400_1800,1531.25,471.15384615384613,16.965864518461537,28.549424540607923,0,12,1531.25,471.15384615384613,1.0,3.25,15.568600779224672,0.031508985746558665
5557AB,9853,9854,1/1/2018,6,1,1400_1800,1717.25,429.3125,22.96284739,18.826967844102043,0,0,481.75,328.0,3.564608199273482,0.25,11449.20596737634,0.015150223851647639
5598AB,9924,9805,1/1/2018,6,1,1400_1800,1191.0,476.4,26.274082803,18.151974967662532,0,0,512.5,309.0,2.32390243902439,0.25,6804.707590271921,0.009558032730852099
5598BA,9805,9924,1/1/2018,6,1,1400_1800,1890.25,472.5625,25.043051616249997,19.216269807807702,6,6,512.5,572.0,3.6882926829268294,0.25,15508.73563295484,0.011767870739360886
7077AB,10735,10857,1/1/2018,6,1,1400_1800,1176.4408241,294.110206025,34.984349085625,8.401217400637185,0,0,303.3327645,248.8557988,3.878383616221584,0.25,176.0384579958314,0.00030702752797318934
