link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
11152AB,12852,13018,1/1/2018,1,2,1400_1800,7938.166666666666,1984.5416666666665,52.130208333125005,38.733967653128715,9,14,3076.0,2050.6666666666665,2.58067837017772,1.5,112.35496147602306,0.005136513802849721
11153AB,13019,13020,1/1/2018,1,2,1400_1800,7079.333333333334,1769.8333333333335,59.182291668750004,29.94177548133386,0,0,1884.1666666666667,1498.0,3.7572755417956656,0.25,9032.17288439288,0.002616965237328266
11374AB,13151,13152,1/1/2018,1,2,1400_1800,3930.166666666666,982.5416666666665,64.03854166625,15.37145156810506,0,0,1141.1666666666667,670.0,3.443990068643201,0.25,2056.809374296563,0.001332406570206625
11485AB,13212,13149,1/1/2018,1,2,1400_1800,2435.75,608.9375,66.4796875,9.164146788441165,0,0,635.625,532.5,3.832055063913471,0.25,929.8072790536115,0.0007578632621394199
12349AB,13659,13666,1/1/2018,1,2,1400_1800,4940.5,1235.125,68.35390625,18.090208242497916,0,0,1288.875,1162.0,3.833187857627776,0.25,936.1879016414151,0.00034968292128387626
12350AB,13513,13660,1/1/2018,1,2,1400_1800,5203.0,1300.75,43.970625,33.81174133113838,5,15,3530.8,1283.9272727272728,1.473603715871757,2.75,26.661125818673906,0.01199592221607114
13467AB,14323,14190,1/1/2018,1,2,1400_1800,6423.666666666666,1605.9166666666665,64.955208333125,24.828353777218993,0,0,1639.8333333333333,1332.0,3.917268015042179,0.25,3538.427728258902,0.0011529849277203317
13468AB,14337,14334,1/1/2018,1,2,1400_1800,5347.875,1336.96875,54.24375,25.62823047555858,6,9,1352.875,1339.875,3.952970525732237,1.0,236.91440120072755,0.004911619060665435
14164AB,14697,14682,1/1/2018,1,2,1400_1800,6595.3,1648.825,61.39125,27.271885694041437,0,0,1681.0,1421.2,3.9234384295062465,0.25,7186.1740702432235,0.0021946236718491095
14165AB,14678,14716,1/1/2018,1,2,1400_1800,5905.6,1476.4,44.06,33.701964940949885,0,15,5905.6,1476.4,1.0,4.0,7.195687040060552,0.008664543833421297
15377AB,15154,15331,1/1/2018,1,2,1400_1800,5453.200000000001,1363.3000000000002,46.573750000000004,30.792505352571194,8,15,2586.4,1293.2,2.1084132384781937,2.0,49.98954648020617,0.008590154737637242
15378AB,15330,15326,1/1/2018,1,2,1400_1800,4676.74999975,1169.1874999375,69.02656249937499,16.94335985331329,0,0,1203.0,1006.333333,3.887572734621779,0.25,481.5606418594549,0.00020769529180596018
23696AB,20104,20105,1/1/2018,1,2,1400_1800,4241.2,1060.3,45.651875000000004,25.941880464053035,4,15,3215.8,1071.9333333333334,1.3188631133776976,3.0,14.466237748975438,0.01012159802699009
24393AB,20522,20512,1/1/2018,1,2,1400_1800,5905.625,1476.40625,50.943749999999994,29.17232253217572,2,10,3286.0,1460.4444444444443,1.7972078514911747,2.25,25.40068046650683,0.005503074139128202
24729AB,20702,20703,1/1/2018,1,2,1400_1800,4841.375,1210.34375,62.15390625,19.501637457816344,0,0,1262.375,1057.0,3.83513219130607,0.25,4418.704366387272,0.0018144185778619024
24777AB,20611,20729,1/1/2018,1,2,1400_1800,4204.0,1051.0,65.9197916675,15.96838031474487,0,0,1136.8333333333333,911.3333333333334,3.69799149684797,0.25,1866.7564385974551,0.0008890535647733856
24779AB,20732,20728,1/1/2018,1,2,1400_1800,3111.666666666667,777.9166666666667,70.924999999375,10.963887172921174,0,0,836.0,632.0,3.722089314194578,0.25,13.670110585067642,9.387986897489535e-06
24782AB,20734,40856,1/1/2018,1,2,1400_1800,3970.5,992.625,66.69791666687499,14.983990933068748,0,0,1021.9999999999999,854.6666666666666,3.885029354207437,0.25,1625.132876087399,0.0008252958004701511
25079AB,20909,20105,1/1/2018,1,2,1400_1800,1769.5,442.375,54.865625,8.880123874767975,9,15,907.5,518.5714285714286,1.949862258953168,1.75,18.406276729479206,0.005284075416508788
25199AB,20613,20972,1/1/2018,1,2,1400_1800,4605.0,1151.25,58.2375,19.992659736688104,11,13,1175.5,1156.5,3.9174819225861337,0.75,302.74690974551214,0.0030677175517338697
28260AB,22723,22663,1/1/2018,1,2,1400_1800,5289.25,1322.3125,67.44296875,19.612639051970575,0,0,1297.75,1167.5,4.075707956077827,0.25,1464.3918476351632,0.0005443997768094082
28276AB,22655,22722,1/1/2018,1,2,1400_1800,6010.5,1502.625,56.391406249999996,27.09102755925317,13,14,1548.5,1522.0,3.881498224087827,0.5,1622.744900200753,0.0037020570982094847
5150AB,9465,9466,1/1/2018,1,2,1400_1800,4139.375,1034.84375,70.3953125,14.709165198542713,0,0,1177.25,862.0,3.516139307708643,0.25,33.95865902701267,1.7098609412769818e-05
5155AB,9470,9472,1/1/2018,1,2,1400_1800,4754.25,1188.5625,72.71328125,16.347146696148286,0,0,1230.0,953.0,3.8652439024390244,0.25,0.0,0.0
