link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
10772AB,12338,12385,1/1/2018,6,2,0900_1400,1791.0,358.2,26.365000000000002,13.690005867508642,0,0,351.5,420.0,5.095305832147937,0.25,12688.916944141061,0.01311272005636271
10772BA,12385,12338,1/1/2018,6,2,0900_1400,1172.6666666666665,234.5333333333333,25.861666666500003,9.183725885599745,0,0,230.66666666666669,233.33333333333334,5.083815028901733,0.25,7589.930545243156,0.01411817437731242
10780AB,12779,12771,1/1/2018,6,2,0900_1400,1265.0,253.0,29.8825,8.457883818857292,0,0,197.0,212.0,6.4213197969543145,0.25,4184.70185914946,0.00856734362542064
10780BA,12771,12779,1/1/2018,6,2,0900_1400,1901.5,380.3,29.284999999999997,13.081577556392219,0,0,348.0,388.0,5.464080459770115,0.25,8333.440932305557,0.009322022806935448
10800AB,12831,12790,1/1/2018,6,2,0900_1400,2901.0,580.2,23.855,24.63442134836385,0,0,477.5,528.0,6.075392670157068,0.25,21105.321164324632,0.017349044780754018
10800BA,12790,12831,1/1/2018,6,2,0900_1400,2558.0,511.6,22.502500000000005,22.985995449459633,0,0,566.0,470.0,4.519434628975265,0.25,21488.60169809763,0.019843936260802338
10849AB,12847,12848,1/1/2018,6,2,0900_1400,1973.0,394.6,27.257499999999993,14.625873775188007,0,0,427.5,452.0,4.6152046783625735,0.25,12482.139934915325,0.011985830658987952
10849BA,12848,12847,1/1/2018,6,2,0900_1400,822.0,164.4,25.5083333345,6.4804526210177515,0,0,162.66666666666666,117.33333333333333,5.053278688524591,0.25,3888.772652426925,0.01438496039161238
10909AB,9828,9791,1/1/2018,6,2,0900_1400,2163.5,432.7,27.325,15.880180503237757,0,0,411.5,604.0,5.257594167679223,0.25,16446.18528159191,0.011818048428296243
10909BA,9791,9828,1/1/2018,6,2,0900_1400,1324.5,264.9,27.237500000000004,9.76439709970852,0,0,205.5,200.0,6.445255474452555,0.25,5515.9570201949155,0.01197039283896466
10917AB,9830,12908,1/1/2018,6,2,0900_1400,1986.0,397.2,27.004999999999995,14.768743131080765,0,0,415.5,410.0,4.7797833935018055,0.25,11490.472873452502,0.012163864407025429
10917BA,12908,9830,1/1/2018,6,2,0900_1400,2640.0,528.0,24.685,21.50172216837281,0,0,589.5,438.0,4.478371501272265,0.25,15787.944468716702,0.01564476359231979
11143AB,6016,25429,1/1/2018,6,2,0900_1400,2527.0,505.4,28.78,17.75219622111097,0,0,598.5,794.0,4.222222222222222,0.25,18037.85738671632,0.009860114807845037
11143BA,25429,6016,1/1/2018,6,2,0900_1400,1698.5,339.7,32.975,10.325615214498155,0,0,320.5,336.0,5.299531981279251,0.25,4148.2325652655745,0.005358476672641749
11180AB,13037,12841,1/1/2018,6,2,0900_1400,2730.0,546.0,21.625,25.871480451372655,14,14,605.5,620.0,4.508670520231214,0.25,31365.554877183713,0.02195729368082417
11180BA,12841,13037,1/1/2018,6,2,0900_1400,2752.5,550.5,24.075,23.000386449972186,0,0,586.0,646.0,4.697098976109215,0.25,24875.200106538927,0.016712891368449896
11247AB,13060,13061,1/1/2018,6,2,0900_1400,2341.5,468.3,30.9875,15.150796608516236,0,0,490.5,410.0,4.773700305810397,0.25,6926.109394825394,0.007332009437272818
11247BA,13061,13060,1/1/2018,6,2,0900_1400,2329.0,465.8,30.130000000000003,15.459156012937797,0,0,403.5,464.0,5.771995043370508,0.25,8817.026337028092,0.008247487818250954
11250AB,13056,13062,1/1/2018,6,2,0900_1400,2263.5,452.7,28.255000000000003,16.079442032609908,0,0,325.5,384.0,6.953917050691245,0.25,9357.614450500525,0.010576730742843658
11250BA,13062,13056,1/1/2018,6,2,0900_1400,1389.5,277.9,26.752499999999998,10.44134722817127,0,0,263.5,316.0,5.273244781783681,0.25,9170.683641036867,0.012595985574121046
11283AB,12845,12854,1/1/2018,6,2,0900_1400,1558.5,311.7,33.3,9.367764322298262,0,0,293.0,410.0,5.319112627986348,0.25,4806.283920742784,0.005087952998753793
11283BA,12854,12845,1/1/2018,6,2,0900_1400,1564.5,312.9,33.502500000000005,9.37290399475427,0,0,341.5,322.0,4.581259150805271,0.25,3668.7048606461403,0.004945092602449614
11323AB,13080,13077,1/1/2018,6,2,0900_1400,3467.0,693.4,37.6675,18.409790451355683,0,0,561.5,534.0,6.17453250222618,0.25,1940.4235972162526,0.0015771493293021196
11323BA,13077,13080,1/1/2018,6,2,0900_1400,2376.5,475.3,38.955,12.175919439075402,0,0,406.0,694.0,5.853448275862069,0.25,1249.9327115613405,0.0007817082379981567
