link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
12816AB,13890,13831,1/1/2018,1,3,1800_0600,6289.333333333334,524.1111111111112,70.33402777791666,7.563720169626862,0,0,1607.3333333333333,97.33333333333333,3.9128992119452515,0.25,45.3071707972166,0.00020203326019021387
12817AB,13834,13891,1/1/2018,1,3,1800_0600,5166.625,430.5520833333333,65.25989583333335,6.86726962001844,27,27,1255.875,1261.5,4.113964367472877,0.25,3688.1416133979333,0.0012689305656701174
15973AB,15603,15634,1/1/2018,1,3,1800_0600,4972.0,414.3333333333333,71.15166666666666,5.93553643753281,0,0,1126.1999999999998,117.2,4.414846386077074,0.25,33.34569584130884,0.00012348940498683414
15974AB,15633,15606,1/1/2018,1,3,1800_0600,4666.1,388.8416666666667,70.07333333333334,5.581945249828833,0,0,1078.1,104.0,4.328077172804008,0.25,47.171044321570776,0.0001968609955995041
17194AB,15861,16270,1/1/2018,1,3,1800_0600,6161.200000000001,513.4333333333334,72.61333333333333,7.199242537730086,0,0,1148.7,205.6,5.363628449551667,0.25,25.158496359037425,5.3110341765288546e-05
19260AB,17510,17511,1/1/2018,1,3,1800_0600,2202.6,183.54999999999998,70.72833333333334,2.5833309796713846,0,0,30.9,47.2,7.764542003805496,0.25,10.525910735252708,9.679105181163109e-05
19376AB,17570,17589,1/1/2018,1,3,1800_0600,2901.2,241.76666666666665,71.18479166666667,3.3780673870122726,0,0,31.4,58.0,10.227226578334925,0.25,5.976729299750097,4.4725285109480495e-05
19378AB,17590,17568,1/1/2018,1,3,1800_0600,2729.833333452,227.486111121,74.219618055,3.041636003046202,0,0,30.749999998000003,60.0,9.623129747106342,0.25,0.0,0.0
19446AB,17497,17612,1/1/2018,1,3,1800_0600,2415.7,201.3083333333333,72.38625,2.7528083202670817,0,0,23.4,40.4,8.515755978658374,0.25,2.380444147176006,2.5573734735715825e-05
20749AB,18299,18300,1/1/2018,1,3,1800_0600,5238.375,436.53125,69.77942708333335,6.68912297329603,24,26,1161.75,1376.6666666666667,4.509038089089735,0.75,52.26739942849278,0.00044492149180579886
20750AB,18301,18302,1/1/2018,1,3,1800_0600,5357.125,446.4270833333333,71.16666666666667,6.2970647442646905,0,0,678.75,92.5,7.892633517495396,0.25,14.140535085746189,6.635010832275802e-05
2193AB,7650,7651,1/1/2018,1,3,1800_0600,6669.875,555.8229166666666,68.78750000000001,8.116988115245364,0,0,759.5,228.5,8.781928900592495,0.25,241.7536813287128,0.0004592026830490077
2224AB,7702,7703,1/1/2018,1,3,1800_0600,7587.375,632.28125,69.34010416666666,9.83129356900051,24,26,1315.625,1510.5,5.767125890736342,0.75,85.03096604176135,0.0006596866158900301
25848AB,21369,21370,1/1/2018,1,3,1800_0600,5472.333333333333,456.02777777777777,70.23854166666666,6.53657344689852,0,0,467.3333333333333,141.33333333333334,11.709700427960057,0.25,72.8313782986121,0.0002236616127979194
25850AB,21373,21374,1/1/2018,1,3,1800_0600,8616.833333333332,718.0694444444443,73.55520833375,9.898093528533016,0,0,1719.0,314.0,5.01270118285825,0.25,19.156288990819395,2.6478858411319267e-05
26399AB,21708,21709,1/1/2018,1,3,1800_0600,5699.3333333775,474.944444448125,68.91319444479167,6.912053559320644,0,0,1346.3333335000002,91.33333333,4.233226045559763,0.25,90.88138592782077,0.00043188006544222173
26400AB,21710,21711,1/1/2018,1,3,1800_0600,5980.875,498.40625,68.70104166666667,8.376659741092206,24,27,914.5,1347.5,6.540049207217058,1.0,51.2296170817633,0.0010560630196199403
32157AB,16291,15858,1/1/2018,1,3,1800_0600,5315.200000000001,442.9333333333334,73.77187500000001,6.040310222216253,0,0,720.0000000000001,110.8,7.3822222222222225,0.25,0.3072131558976275,1.2034209689381341e-06
3951AB,8759,8760,1/1/2018,1,3,1800_0600,5169.75,430.8125,65.75937499999999,6.566673589011372,0,0,722.125,200.5,7.159079106802839,0.25,519.459096882262,0.0011244871694077784
4433AB,6066,9026,1/1/2018,1,3,1800_0600,5635.25,469.6041666666667,70.28411458333333,6.731619228545575,0,0,1075.875,162.0,5.237829673521552,0.25,72.9587421307827,0.00019546988096596018
4437AB,9029,6087,1/1/2018,1,3,1800_0600,6097.833333333333,508.15277777777777,74.67465277812501,6.794308743777395,0,0,854.5,198.0,7.136141993368441,0.25,0.0,0.0
4607AB,9071,9125,1/1/2018,1,3,1800_0600,8543.5,711.9583333333334,70.03281249999999,10.460343751557597,0,0,1327.125,394.0,6.437600075350852,0.25,293.3162487988027,0.00032311522754380233
4608AB,9126,9059,1/1/2018,1,3,1800_0600,6569.599999999999,547.4666666666666,65.38416666666667,9.776838185994906,21,23,1075.6,948.5333333333333,6.1078467831907775,0.75,200.1601357765921,0.002472898430347138
