link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
11912AB,13418,39471,1/1/2018,6,3,1800_0600,1577.75,131.47916666666666,35.56474103104167,3.7783001190108014,0,0,263.0,11.0,5.999049429657795,0.25,98.08111083738936,0.0038699933253389107
11912BA,39471,13418,1/1/2018,6,3,1800_0600,1580.5,131.70833333333334,35.56474103104167,3.8236258398116756,0,0,305.75,42.0,5.169255928045789,0.25,374.4915141063957,0.0038699933253389107
11915AB,12320,13423,1/1/2018,6,3,1800_0600,1303.5,108.625,41.762517240624994,2.5691167538211253,0,0,266.5,35.0,4.891181988742964,0.25,25.51281810767537,0.00031637919280351397
11915BA,13423,12320,1/1/2018,6,3,1800_0600,1581.75,131.8125,38.56705862625,3.3963747487166596,0,0,92.75,27.0,16.616400592646645,0.25,103.35556392221713,0.00166145132333811
11993AB,13420,9414,1/1/2018,6,3,1800_0600,612.5,55.68181818181818,31.3300417275,1.7347196338327964,0,0,3.0,6.0,6.434357744900313,0.25,108.61196471175363,0.007856768280653475
11993BA,9414,13420,1/1/2018,6,3,1800_0600,539.0,49.0,32.25739334295455,1.5296967819167087,0,0,2.5,8.0,5.662234815512276,0.25,125.486667071618,0.006808087406229272
12292AB,13633,13625,1/1/2018,6,3,1800_0600,1523.833333307,126.98611110891666,40.020939257083334,3.2613338503594735,0,0,47.66666666666667,20.666666666666668,16.0079817307774,0.25,41.17050475522292,0.0008646359365596211
12292BA,13625,13633,1/1/2018,6,3,1800_0600,1361.3333333763335,113.4444444480278,40.73279148395833,3.111717993465573,0,0,290.50000000000006,21.333333333333332,4.6861732646345375,0.25,63.68190019484998,0.0012956115762298578
12306AB,13648,13650,1/1/2018,6,3,1800_0600,748.5,62.375,37.13037007666667,1.7798127657920837,0,0,188.25,10.0,3.9760956175298805,0.25,63.130537921692586,0.0027400407084067963
12306BA,13650,13648,1/1/2018,6,3,1800_0600,758.0,63.166666666666664,33.909518949375006,1.7725926493565864,0,0,8.75,8.0,7.962845992872551,0.25,98.71946880335099,0.005355873958515137
12312AB,28512,28505,1/1/2018,6,3,1800_0600,1379.5,114.95833333333333,41.41274136145834,3.0024456533101738,0,0,277.0,21.0,4.98014440433213,0.25,36.042356893173555,0.0007449230508675091
12312BA,28505,28512,1/1/2018,6,3,1800_0600,982.25,81.85416666666667,39.616997574375,2.276510194156634,0,0,299.0,11.0,3.2851170568561874,0.25,35.39419721975201,0.0013965513423197606
12317AB,13489,28518,1/1/2018,6,3,1800_0600,454.5,37.875,29.163752863750002,1.1136819984787527,4,15,8.75,2.9166666666666665,4.7745560735627635,3.0,0.0581841544150013,0.014961639706714625
12317BA,28518,13489,1/1/2018,6,3,1800_0600,519.0,43.25,37.47385174145833,1.1221195905841086,0,0,2.5,4.0,5.4521333381277755,0.25,28.23458223651817,0.0030636482461499754
12341AB,13634,13485,1/1/2018,6,3,1800_0600,596.0000000226667,49.66666666855556,40.105119235625004,1.2385315778870238,0,0,144.66666667,7.3333333346666665,4.11981566826452,0.25,13.91040824353314,0.0008232959422942695
12341BA,13485,13634,1/1/2018,6,3,1800_0600,718.6666666346666,59.88888888622222,36.33493129145833,1.695929398979441,0,0,153.33333333333334,7.333333332,4.686956521530434,0.25,57.334662572778626,0.00339338675326723
12344AB,28543,13663,1/1/2018,6,3,1800_0600,1868.5,155.70833333333334,35.027362796458334,4.735131979706604,0,0,232.25,39.0,8.045209903121636,0.25,397.4625933536036,0.0044233283626424905
12344BA,13663,28543,1/1/2018,6,3,1800_0600,2337.75,194.8125,38.392440343333334,5.4900094814862825,0,0,478.0,48.0,4.8906903765690375,0.25,216.22628408132687,0.001955171116186766
12345AB,13656,13494,1/1/2018,6,3,1800_0600,562.1666666836666,46.84722222363888,37.20266310916667,1.2610798342498217,0,0,6.166666666666666,11.333333332,5.905602360327907,0.25,79.57818883001936,0.0030475715701356273
12345BA,13494,13656,1/1/2018,6,3,1800_0600,639.9999999913333,53.33333333261111,32.92795238666667,1.5464528327002345,0,0,2.5,8.666666666666666,6.723247276212957,0.25,127.04836445975018,0.006362598380396142
12389AB,9602,9575,1/1/2018,6,3,1800_0600,458.8333333383333,38.23611111152778,33.533073682291665,1.1493806886783806,0,0,60.66666666666667,11.333333334666667,4.82007806038193,0.25,151.70463257492347,0.00580976687182429
