o_zone_id,d_zone_id,volume
278,314,40
495,314,8
1032,314,14
1103,314,3
1275,314,2
1786,314,3
1804,314,3
2529,314,1
3211,314,2
3335,314,3
4109,314,1
4173,314,2
4458,314,1
4896,314,1
315,425,10
589,425,6
1275,425,11
1459,425,5
1786,425,3
1804,425,3
2529,425,1
3211,425,1
315,494,9
589,494,2
1103,494,1
1275,494,10
1459,494,6
1786,494,6
1804,494,6
2173,494,1
2189,494,1
2446,494,1
2529,494,1
3280,494,8
3335,494,15
3729,494,1
4109,494,6
4173,494,4
4258,494,4
4458,494,5
4896,494,1
5445,494,1
278,550,2
495,550,1
1275,550,10
1459,550,3
1786,550,3
1804,550,3
2529,550,3
3211,550,1
3280,550,1
4896,550,6
5391,550,2
315,654,43
589,654,8
1275,654,38
1459,654,19
1786,654,23
1804,654,23
2173,654,1
2189,654,1
2446,654,3
2529,654,15
3211,654,5
4896,654,7
5391,654,1
5445,654,1
495,1103,3
1174,1103,53
1459,1103,2
3280,1103,20
3335,1103,39
3729,1103,2
4109,1103,7
4173,1103,33
4258,1103,2
4458,1103,1
278,1272,21
315,1272,5
495,1272,9
589,1272,27
1103,1272,2
1275,1272,2
1459,1272,23
1786,1272,23
1804,1272,23
2446,1272,5
2529,1272,38
3211,1272,22
3280,1272,1
3335,1272,5
4109,1272,6
4896,1272,25
5048,1272,2
5391,1272,6
5445,1272,3
278,1424,14
315,1424,1
495,1424,2
589,1424,4
1032,1424,3
1275,1424,29
1459,1424,56
1786,1424,22
1804,1424,22
2446,1424,4
2529,1424,30
3211,1424,33
3335,1424,3
4109,1424,11
4173,1424,3
4896,1424,31
5048,1424,4
5391,1424,3
5445,1424,3
278,1470,5
495,1470,4
589,1470,3
1032,1470,2
1103,1470,1
1275,1470,3
1459,1470,25
2173,1470,1
2189,1470,1
2529,1470,5
3211,1470,4
4109,1470,5
4173,1470,2
4896,1470,21
5391,1470,3
3280,2086,1
3335,2086,2
3729,2086,1
4109,2086,4
4173,2086,5
278,2430,2
1275,2430,4
1459,2430,13
1786,2430,3
1804,2430,3
2173,2430,10
2189,2430,10
2446,2430,2
2529,2430,22
3211,2430,28
3335,2430,1
3729,2430,1
4109,2430,11
4173,2430,5
4896,2430,73
5048,2430,14
5391,2430,17
5445,2430,16
278,2527,16
315,2527,2
495,2527,3
589,2527,6
1032,2527,3
1275,2527,54
1459,2527,46
1786,2527,11
1804,2527,11
2173,2527,10
2189,2527,10
2446,2527,7
2529,2527,5
3211,2527,37
3280,2527,1
3335,2527,2
4109,2527,6
4173,2527,1
4896,2527,50
5048,2527,3
5391,2527,6
278,3197,1
589,3197,1
1275,3197,22
1459,3197,41
1786,3197,23
1804,3197,23
2446,3197,64
2529,3197,41
5391,3197,2
495,3279,8
589,3279,1
1103,3279,1
1174,3279,9
1459,3279,1
1611,3279,5
1786,3279,1
1804,3279,1
2087,3279,1
2446,3279,1
2529,3279,1
3335,3279,1
3729,3279,3
4109,3279,8
4173,3279,7
4258,3279,7
4458,3279,3
4896,3279,2
5391,3279,3
315,3334,4
495,3334,13
589,3334,1
1103,3334,3
1174,3334,30
1275,3334,2
1459,3334,4
1611,3334,18
1786,3334,4
1804,3334,4
2087,3334,4
2446,3334,1
2529,3334,2
3280,3334,6
4109,3334,6
4173,3334,21
4258,3334,3
4458,3334,5
4896,3334,2
5391,3334,1
5445,3334,1
2446,3396,1
3280,3396,8
3335,3396,10
4173,3396,4
4258,3396,3
4458,3396,1
4896,3396,1
5391,3396,2
1786,3729,1
1804,3729,1
2087,3729,2
2446,3729,2
4109,3729,4
4173,3729,6
4258,3729,10
4458,3729,2
4896,3729,1
5391,3729,3
495,3909,3
1611,3909,1
3280,3909,3
3335,3909,4
3729,3909,6
4109,3909,35
4173,3909,38
278,3976,1
1275,3976,4
1459,3976,8
1786,3976,3
1804,3976,3
2446,3976,2
2529,3976,8
5445,3976,43
315,4108,1
495,4108,14
589,4108,2
1174,4108,5
1275,4108,7
1459,4108,12
1611,4108,5
1786,4108,6
1804,4108,6
2087,4108,6
2446,4108,27
2529,4108,8
3280,4108,8
3335,4108,18
3729,4108,2
4109,4108,5
4173,4108,6
4258,4108,85
4458,4108,36
4896,4108,23
5048,4108,1
5391,4108,36
278,4172,1
315,4172,2
495,4172,10
589,4172,1
1103,4172,1
1174,4172,15
1459,4172,2
1611,4172,4
2087,4172,2
2446,4172,4
2529,4172,3
3280,4172,5
3335,4172,11
3729,4172,2
4109,4172,5
4258,4172,38
4458,4172,7
4896,4172,3
5391,4172,4
495,4377,1
1611,4377,2
3280,4377,2
3335,4377,8
3729,4377,1
4109,4377,24
4173,4377,6
278,5048,2
495,5048,1
1275,5048,1
1459,5048,1
1786,5048,2
1804,5048,2
2173,5048,1
2189,5048,1
2446,5048,16
2529,5048,1
3280,5048,1
3335,5048,1
4109,5048,4
4173,5048,1
4896,5048,10
5391,5048,18
278,5213,1
495,5213,1
589,5213,2
1275,5213,27
1459,5213,48
1611,5213,4
1786,5213,19
1804,5213,19
2446,5213,100
2529,5213,46
3280,5213,5
3335,5213,3
4109,5213,15
4173,5213,4
4896,5213,1
5048,5213,14
5391,5213,75
589,5238,2
1275,5238,5
1459,5238,8
1611,5238,2
1786,5238,4
1804,5238,4
2173,5238,1
2189,5238,1
2446,5238,24
2529,5238,5
3211,5238,1
3280,5238,1
3335,5238,2
