o_zone_id,d_zone_id,volume
495,314,14
589,314,1
1032,314,18
1275,314,3
1459,314,1
2529,314,2
3211,314,1
3280,314,3
3335,314,3
4109,314,1
4173,314,1
4896,314,4
315,425,9
589,425,5
1275,425,4
1459,425,6
1786,425,1
1804,425,1
2446,425,1
2529,425,2
3211,425,1
4896,425,1
315,494,8
589,494,1
1103,494,2
1275,494,4
1459,494,4
1786,494,7
1804,494,7
2446,494,1
2529,494,5
3280,494,12
3335,494,12
4109,494,1
4173,494,7
4258,494,4
4458,494,3
1032,550,1
1275,550,37
1459,550,1
1786,550,7
1804,550,7
2173,550,1
2189,550,1
2529,550,14
3211,550,10
4109,550,1
4896,550,6
5048,550,1
5445,550,1
315,654,81
589,654,21
1275,654,40
1459,654,10
1786,654,10
1804,654,10
2173,654,2
2189,654,2
2446,654,2
2529,654,20
3211,654,6
4896,654,16
5391,654,2
315,1103,3
495,1103,3
589,1103,1
1174,1103,169
1275,1103,1
1459,1103,3
1786,1103,2
1804,1103,2
2087,1103,5
2173,1103,1
2189,1103,1
2529,1103,1
3280,1103,24
3335,1103,46
3729,1103,6
4109,1103,5
4173,1103,36
4258,1103,15
4458,1103,2
4896,1103,4
5391,1103,2
5445,1103,2
315,1272,5
495,1272,7
589,1272,91
1032,1272,4
1275,1272,32
1459,1272,26
1786,1272,3
1804,1272,3
2173,1272,5
2189,1272,5
2446,1272,4
2529,1272,62
3211,1272,28
3335,1272,2
4109,1272,2
4896,1272,35
5048,1272,4
5391,1272,3
5445,1272,2
315,1424,1
495,1424,2
589,1424,9
1103,1424,1
1275,1424,10
1459,1424,83
1786,1424,19
1804,1424,19
2173,1424,8
2189,1424,8
2446,1424,5
2529,1424,59
3211,1424,38
3280,1424,1
4109,1424,5
4173,1424,4
4896,1424,46
5048,1424,7
5391,1424,13
5445,1424,1
315,1470,2
495,1470,3
589,1470,20
1032,1470,1
1103,1470,1
1275,1470,4
1459,1470,28
2173,1470,6
2189,1470,6
2446,1470,3
2529,1470,22
3211,1470,17
4109,1470,3
4173,1470,3
4896,1470,29
5048,1470,1
5391,1470,3
5445,1470,2
495,2086,1
1611,2086,1
3335,2086,3
3729,2086,3
4109,2086,3
4173,2086,4
315,2430,1
495,2430,1
589,2430,8
1103,2430,1
1174,2430,1
1275,2430,10
1459,2430,15
1786,2430,10
1804,2430,10
2173,2430,17
2189,2430,17
2446,2430,3
2529,2430,15
3211,2430,44
3335,2430,2
4109,2430,14
4173,2430,6
4896,2430,147
5048,2430,25
5391,2430,45
5445,2430,10
315,2527,7
495,2527,2
589,2527,45
1103,2527,2
1275,2527,64
1459,2527,77
1786,2527,8
1804,2527,8
2173,2527,6
2189,2527,6
2446,2527,12
2529,2527,3
3211,2527,31
3280,2527,2
3335,2527,2
4109,2527,12
4173,2527,1
4896,2527,54
5048,2527,4
5391,2527,3
315,3197,1
589,3197,11
1275,3197,19
1459,3197,45
1786,3197,13
1804,3197,13
2446,3197,81
2529,3197,38
4896,3197,2
5391,3197,2
315,3279,6
495,3279,21
589,3279,1
1103,3279,6
1174,3279,38
1275,3279,2
1459,3279,1
1611,3279,15
2087,3279,9
2446,3279,3
3335,3279,4
3729,3279,4
4109,3279,9
4173,3279,8
4258,3279,19
4458,3279,9
4896,3279,3
5391,3279,1
315,3334,2
495,3334,29
589,3334,1
1103,3334,6
1174,3334,49
1275,3334,9
1459,3334,4
1611,3334,26
1786,3334,2
1804,3334,2
2087,3334,7
2446,3334,1
3280,3334,44
4109,3334,12
4173,3334,12
4258,3334,20
4458,3334,7
4896,3334,3
5391,3334,2
2087,3396,1
3280,3396,7
3335,3396,26
4109,3396,3
4173,3396,6
4258,3396,3
4458,3396,2
4896,3396,4
2087,3729,15
2446,3729,1
4109,3729,7
4173,3729,5
4258,3729,14
4458,3729,5
4896,3729,1
495,3909,5
1174,3909,3
3335,3909,4
3729,3909,4
4109,3909,26
4173,3909,31
589,3976,4
1275,3976,5
1459,3976,8
1786,3976,2
1804,3976,2
2446,3976,18
2529,3976,8
5391,3976,5
5445,3976,28
315,4108,1
495,4108,3
1174,4108,4
1275,4108,4
1459,4108,15
1611,4108,1
1786,4108,8
1804,4108,8
2087,4108,6
2446,4108,20
2529,4108,13
3335,4108,14
3729,4108,4
4109,4108,5
4173,4108,4
4258,4108,66
4458,4108,91
4896,4108,26
5048,4108,5
5391,4108,27
315,4172,2
495,4172,11
1174,4172,14
1459,4172,4
1611,4172,2
1786,4172,1
1804,4172,1
2087,4172,6
2446,4172,10
2529,4172,4
3335,4172,7
3729,4172,5
4109,4172,7
4258,4172,46
4458,4172,13
4896,4172,3
5048,4172,4
5391,4172,7
315,4377,1
3335,4377,3
3729,4377,1
4109,4377,36
4173,4377,12
315,5048,1
589,5048,4
1459,5048,6
1786,5048,1
1804,5048,1
2446,5048,15
2529,5048,2
4109,5048,7
4173,5048,2
4896,5048,30
5391,5048,25
315,5213,4
495,5213,2
589,5213,15
1032,5213,1
1103,5213,1
1275,5213,27
1459,5213,52
1786,5213,14
1804,5213,14
2173,5213,1
2189,5213,1
2446,5213,102
2529,5213,50
3211,5213,1
3335,5213,6
3729,5213,1
4109,5213,8
4173,5213,2
4896,5213,1
5048,5213,24
5391,5213,54
495,5238,1
589,5238,2
1174,5238,1
1275,5238,1
1459,5238,2
1611,5238,1
1786,5238,1
1804,5238,1
2173,5238,4
2189,5238,4
2446,5238,25
2529,5238,7
3211,5238,1
3335,5238,1
4109,5238,21
4173,5238,10
4896,5238,55
5048,5238,11
589,5444,2
1459,5444,1
1786,5444,1
1804,5444,1
2173,5444,17
2189,5444,17
2446,5444,9
495,5603,1
589,5603,2
1174,5603,1
1275,5603,1
