name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15975,1,,1,0,120.02521997851562,30.238002382812503,POINT(120.02521997851562 30.238002382812503)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16675,2,,1,0,120.03240017382812,30.239112388671877,POINT(120.03240017382812 30.239112388671877)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16075,3,,1,0,120.0262525078125,30.238161406249997,POINT(120.0262525078125 30.238161406249997)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16175,4,,1,0,120.02727605859374,30.238319046875,POINT(120.02727605859374 30.238319046875)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16275,5,,1,0,120.028299609375,30.238476687499997,POINT(120.028299609375 30.238476687499997)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16375,6,,1,0,120.02932316015625,30.238634328124995,POINT(120.02932316015625 30.238634328124995)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16475,7,,1,0,120.030345,30.238795,POINT(120.030345 30.238795)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16575,8,,1,0,120.03136709179687,30.238952845703125,POINT(120.03136709179687 30.238952845703125)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-17475,9,,1,0,120.04059033203126,30.24039037695313,POINT(120.04059033203126 30.24039037695313)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-17575,10,,1,0,120.04161,30.240549,POINT(120.04161 30.240549)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16775,11,,1,0,120.033422265625,30.239270234375,POINT(120.033422265625 30.239270234375)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16875,12,,1,0,120.03444435742188,30.239428080078127,POINT(120.03444435742188 30.239428080078127)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-16975,13,,1,0,120.03546644921875,30.23958592578125,POINT(120.03546644921875 30.23958592578125)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-17075,14,,1,0,120.03649931249998,30.239742812500005,POINT(120.03649931249998 30.239742812500005)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-17175,15,,1,0,120.03751827343748,30.2399055078125,POINT(120.03751827343748 30.2399055078125)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-13675,16,,1,0,120.0015886640625,30.2348892421875,POINT(120.0015886640625 30.2348892421875)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-13775,17,,1,0,120.002588484375,30.235128265625,POINT(120.002588484375 30.235128265625)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-13875,18,,1,0,120.00360107812499,30.235339578125,POINT(120.00360107812499 30.235339578125)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-13975,19,,1,0,120.00461368750001,30.235536874999998,POINT(120.00461368750001 30.235536874999998)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14075,20,,1,0,120.00564001562502,30.235708234375004,POINT(120.00564001562502 30.235708234375004)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14175,21,,1,0,120.00666646875001,30.23586496875,POINT(120.00666646875001 30.23586496875)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14275,22,,1,0,120.007689140625,30.235994796874998,POINT(120.007689140625 30.235994796874998)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14375,23,,1,0,120.00872658789062,30.236108984375,POINT(120.00872658789062 30.236108984375)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14475,24,,1,0,120.00975791015625,30.23619659375,POINT(120.00975791015625 30.23619659375)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14575,25,,1,0,120.01080082031248,30.236285187500002,POINT(120.01080082031248 30.236285187500002)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-17275,26,,1,0,120.03854251953126,30.240070464843754,POINT(120.03854251953126 30.240070464843754)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14675,27,,1,0,120.01183214257811,30.236372796875003,POINT(120.01183214257811 30.236372796875003)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14775,28,,1,0,120.01286346484375,30.236460406250004,POINT(120.01286346484375 30.236460406250004)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14875,29,,1,0,120.01390637499999,30.236549,POINT(120.01390637499999 30.236549)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-14975,30,,1,0,120.01494032421874,30.236636433593752,POINT(120.01494032421874 30.236636433593752)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15075,31,,1,0,120.015973203125,30.236722765625,POINT(120.015973203125 30.236722765625)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15175,32,,1,0,120.017013796875,30.236823953125004,POINT(120.017013796875 30.236823953125004)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15275,33,,1,0,120.01803963281247,30.23693434375,POINT(120.01803963281247 30.23693434375)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15375,34,,1,0,120.01907810156249,30.237064968749998,POINT(120.01907810156249 30.237064968749998)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15475,35,,1,0,120.0201031875,30.237208376953127,POINT(120.0201031875 30.237208376953127)
G56杭瑞高速与杭州第二绕城高速出口路口-西南向东北-15575,36,,1,0,120.021120375,30.23736622265625,POINT(120.021120375 30.23736622265625)
