o_zone_id,d_zone_id,volume
278,314,1
495,314,12
1032,314,17
1103,314,2
1275,314,1
1459,314,1
1786,314,1
1804,314,1
3280,314,3
3335,314,8
3729,314,1
4109,314,1
4173,314,2
4896,314,4
315,425,16
589,425,6
1275,425,8
1459,425,6
1786,425,4
1804,425,4
2529,425,1
4896,425,1
315,494,16
1103,494,1
1275,494,2
1459,494,5
1786,494,3
1804,494,3
2529,494,4
3211,494,1
3335,494,15
3729,494,1
4109,494,2
4173,494,9
4258,494,8
4458,494,1
4896,494,2
5391,494,1
1032,550,1
1275,550,4
1786,550,2
1804,550,2
2529,550,4
3211,550,2
3280,550,2
3335,550,1
4173,550,1
4896,550,3
315,654,63
589,654,9
1275,654,18
1459,654,10
1786,654,6
1804,654,6
2446,654,2
2529,654,7
3211,654,3
4896,654,12
5048,654,1
5391,654,1
5445,654,1
589,1103,4
1174,1103,63
1459,1103,2
1786,1103,2
1804,1103,2
2087,1103,1
2173,1103,2
2189,1103,2
2446,1103,1
2529,1103,1
3280,1103,17
3335,1103,46
3729,1103,2
4109,1103,2
4173,1103,37
4258,1103,7
4896,1103,1
5445,1103,3
315,1272,10
495,1272,5
589,1272,54
1032,1272,6
1275,1272,1
1459,1272,13
1786,1272,8
1804,1272,8
2173,1272,5
2189,1272,5
2446,1272,5
2529,1272,30
3211,1272,19
3280,1272,3
3335,1272,4
4109,1272,3
4896,1272,30
5048,1272,2
5391,1272,1
5445,1272,2
315,1424,3
495,1424,5
589,1424,4
1032,1424,2
1275,1424,10
1459,1424,63
1786,1424,30
1804,1424,30
2173,1424,10
2189,1424,10
2446,1424,3
2529,1424,45
3211,1424,35
3280,1424,3
3335,1424,1
4109,1424,11
4173,1424,1
4896,1424,33
5048,1424,1
5391,1424,2
5445,1424,2
315,1470,1
495,1470,1
589,1470,10
1032,1470,1
1275,1470,7
1459,1470,18
2173,1470,3
2189,1470,3
2446,1470,6
2529,1470,6
3211,1470,6
3335,1470,4
4109,1470,4
4896,1470,18
5048,1470,3
5391,1470,3
2087,2086,1
3335,2086,4
3729,2086,5
4109,2086,3
4173,2086,4
495,2430,1
1032,2430,1
1275,2430,4
1459,2430,18
1786,2430,4
1804,2430,4
2173,2430,15
2189,2430,15
2529,2430,19
3211,2430,48
3729,2430,1
4109,2430,18
4173,2430,5
4896,2430,86
5048,2430,16
5391,2430,44
5445,2430,13
315,2527,7
495,2527,4
589,2527,16
1032,2527,1
1103,2527,2
1174,2527,1
1275,2527,46
1459,2527,63
1786,2527,4
1804,2527,4
2173,2527,9
2189,2527,9
2446,2527,15
2529,2527,7
3211,2527,36
3280,2527,1
3335,2527,3
3729,2527,1
4109,2527,6
4173,2527,3
4896,2527,52
5048,2527,4
5391,2527,7
5445,2527,2
