o_zone_id,d_zone_id,volume
278,314,48
495,314,22
1032,314,20
1103,314,1
1275,314,3
1459,314,1
1786,314,4
1804,314,4
2173,314,1
2189,314,1
2446,314,1
2529,314,3
3211,314,1
3280,314,8
3335,314,4
3729,314,1
4173,314,2
4258,314,1
4896,314,1
315,425,15
589,425,4
1275,425,7
1459,425,10
1786,425,2
1804,425,2
2446,425,1
2529,425,4
3211,425,1
5391,425,1
315,494,20
589,494,10
1103,494,7
1275,494,16
1459,494,13
1786,494,5
1804,494,5
2173,494,1
2189,494,1
2446,494,3
2529,494,21
3280,494,11
3335,494,25
3729,494,1
4109,494,10
4173,494,10
4258,494,6
4458,494,5
4896,494,8
5391,494,1
5445,494,1
278,550,3
315,550,2
495,550,1
1275,550,85
1459,550,9
1786,550,8
1804,550,8
2446,550,7
2529,550,21
3211,550,9
3335,550,1
4109,550,1
4896,550,5
5445,550,1
315,654,82
589,654,31
1275,654,71
1459,654,36
1786,654,24
1804,654,24
2173,654,2
2189,654,2
2446,654,5
2529,654,61
3211,654,14
4896,654,15
5048,654,3
5391,654,4
5445,654,4
315,1103,1
495,1103,1
589,1103,1
1174,1103,67
1459,1103,2
1786,1103,3
1804,1103,3
2087,1103,4
2446,1103,1
3211,1103,2
3280,1103,36
3335,1103,261
3729,1103,7
4109,1103,13
4173,1103,36
4258,1103,2
4458,1103,3
4896,1103,1
5391,1103,1
278,1272,27
315,1272,3
495,1272,6
589,1272,19
1032,1272,9
1103,1272,1
1275,1272,1
1459,1272,21
1786,1272,11
1804,1272,11
2173,1272,3
2189,1272,3
2446,1272,12
2529,1272,64
3211,1272,16
3280,1272,5
3335,1272,7
4109,1272,5
4173,1272,2
4896,1272,37
5048,1272,5
5391,1272,6
278,1424,18
315,1424,2
495,1424,14
589,1424,7
1032,1424,6
1103,1424,3
1275,1424,39
1459,1424,117
1786,1424,38
1804,1424,38
2173,1424,8
2189,1424,8
2446,1424,11
2529,1424,75
3211,1424,40
3335,1424,2
4109,1424,8
4173,1424,1
4896,1424,50
5048,1424,6
5391,1424,3
5445,1424,1
278,1470,3
495,1470,1
589,1470,1
1275,1470,7
1459,1470,17
2173,1470,3
2189,1470,3
2446,1470,5
2529,1470,10
3211,1470,9
3280,1470,4
3335,1470,2
4109,1470,3
4896,1470,14
5048,1470,4
495,2086,2
1174,2086,2
2087,2086,3
3280,2086,11
3335,2086,15
3729,2086,9
4109,2086,9
4173,2086,10
4258,2086,1
278,2430,1
315,2430,1
495,2430,3
589,2430,1
1275,2430,10
1459,2430,12
1786,2430,2
1804,2430,2
2173,2430,7
2189,2430,7
2446,2430,1
2529,2430,9
3211,2430,40
3280,2430,1
