o_zone_id,d_zone_id,volume
278,314,14
495,314,4
1032,314,3
1275,314,1
3335,314,1
3729,314,1
4173,314,1
315,425,6
589,494,1
1103,494,1
1275,494,2
1459,494,2
2446,494,1
2529,494,3
3280,494,4
3335,494,5
4173,494,1
4258,494,1
4896,494,1
5391,494,1
315,550,1
1275,550,8
1459,550,1
1786,550,1
1804,550,1
2529,550,1
3335,550,3
4896,550,1
315,654,35
589,654,2
1275,654,8
1459,654,2
1786,654,1
1804,654,1
2529,654,5
4896,654,2
5048,654,1
5391,654,1
315,1103,1
1174,1103,40
3280,1103,2
3335,1103,7
3729,1103,1
4109,1103,2
4173,1103,3
4258,1103,8
278,1272,14
315,1272,1
495,1272,4
589,1272,20
1459,1272,13
1786,1272,4
1804,1272,4
2446,1272,7
2529,1272,19
3211,1272,6
3280,1272,1
3729,1272,1
4109,1272,3
4173,1272,1
4896,1272,12
5048,1272,2
278,1424,5
495,1424,1
1275,1424,11
1459,1424,7
1786,1424,10
1804,1424,10
2446,1424,4
2529,1424,21
3211,1424,21
4109,1424,2
4896,1424,15
5048,1424,13
5391,1424,4
5445,1424,1
278,1470,1
589,1470,3
1032,1470,1
1275,1470,2
1459,1470,8
2173,1470,2
2189,1470,2
2446,1470,1
2529,1470,2
3211,1470,4
3335,1470,2
4896,1470,7
4109,2086,1
4173,2086,1
589,2430,1
1275,2430,2
1459,2430,5
1786,2430,2
1804,2430,2
2173,2430,3
2189,2430,3
2446,2430,3
2529,2430,11
3211,2430,14
4109,2430,1
4173,2430,1
4896,2430,24
5048,2430,7
5391,2430,5
5445,2430,3
278,2527,1
495,2527,1
589,2527,11
1275,2527,15
1459,2527,32
1786,2527,3
1804,2527,3
2173,2527,2
2189,2527,2
2446,2527,10
2529,2527,1
3211,2527,14
4109,2527,2
4896,2527,12
5048,2527,6
1275,3197,3
1459,3197,11
1786,3197,4
1804,3197,4
2446,3197,24
2529,3197,11
5391,3197,1
315,3279,2
495,3279,3
589,3279,1
1174,3279,4
1611,3279,3
2446,3279,1
2529,3279,1
4109,3279,1
4258,3279,2
4458,3279,1
4896,3279,1
5391,3279,5
315,3334,2
495,3334,3
1103,3334,3
1174,3334,20
1275,3334,3
1459,3334,3
1611,3334,6
1786,3334,1
1804,3334,1
2087,3334,1
2446,3334,1
4109,3334,3
4173,3334,2
4258,3334,7
4896,3334,2
5391,3334,1
3280,3396,3
3335,3396,6
4109,3396,1
4173,3396,1
5391,3396,1
2087,3729,3
4109,3729,2
4458,3729,2
4896,3729,3
3280,3909,1
3335,3909,2
3729,3909,2
4109,3909,9
4173,3909,10
1275,3976,1
1459,3976,2
1786,3976,1
1804,3976,1
2446,3976,6
5048,3976,1
5445,3976,18
1275,4108,5
1459,4108,8
1611,4108,1
1786,4108,1
1804,4108,1
2087,4108,2
2446,4108,5
2529,4108,2
3335,4108,4
3729,4108,1
4109,4108,6
4173,4108,1
4258,4108,35
4458,4108,12
4896,4108,10
5391,4108,17
1174,4172,1
1459,4172,1
2087,4172,1
2446,4172,2
3280,4172,1
3335,4172,1
4109,4172,2
4258,4172,8
4458,4172,4
4896,4172,1
1611,4377,1
3280,4377,1
4109,4377,6
1459,5048,9
1786,5048,2
1804,5048,2
2446,5048,9
2529,5048,5
4109,5048,1
4896,5048,4
5391,5048,4
278,5213,1
315,5213,2
495,5213,1
589,5213,5
1275,5213,39
1459,5213,13
1611,5213,2
1786,5213,6
1804,5213,6
2446,5213,35
2529,5213,20
3280,5213,1
3729,5213,5
4109,5213,6
4173,5213,4
4896,5213,1
5048,5213,15
5391,5213,42
495,5238,1
1275,5238,6
1459,5238,4
1786,5238,1
1804,5238,1
2173,5238,1
2189,5238,1
2446,5238,11
2529,5238,6
3211,5238,1
3280,5238,4
4109,5238,9
4173,5238,1
4896,5238,64
5048,5238,11
1459,5444,4
2173,5444,22
2189,5444,22
2446,5444,5
2529,5444,1
495,5603,1
1275,5603,6
1459,5603,4
1786,5603,1
1804,5603,1
2173,5603,1
2189,5603,1
2446,5603,11
2529,5603,6
3211,5603,1
3280,5603,4
4109,5603,9
4173,5603,1
4896,5603,64
5048,5603,11
