o_zone_id,d_zone_id,volume
278,314,37
495,314,12
589,314,1
1032,314,19
1103,314,4
1275,314,3
1786,314,1
1804,314,1
2529,314,2
3280,314,4
3335,314,7
3729,314,1
4896,314,2
315,425,2
589,425,18
1275,425,4
1459,425,8
1786,425,1
1804,425,1
2529,425,1
4896,425,1
5391,425,1
315,494,3
495,494,1
589,494,6
1103,494,1
1275,494,5
1459,494,6
1786,494,5
1804,494,5
2087,494,1
2446,494,3
2529,494,7
3280,494,11
3335,494,11
4109,494,1
4173,494,14
4258,494,11
4458,494,3
4896,494,1
5391,494,3
278,550,2
315,550,5
495,550,1
1275,550,57
1459,550,4
1786,550,12
1804,550,12
2446,550,1
2529,550,5
3211,550,1
4896,550,3
315,654,4
589,654,17
1275,654,35
1459,654,14
1786,654,17
1804,654,17
2173,654,1
2189,654,1
2446,654,2
2529,654,16
3211,654,6
4896,654,12
5048,654,1
5391,654,2
495,1103,3
589,1103,1
1174,1103,95
1275,1103,2
1459,1103,1
1786,1103,1
1804,1103,1
2173,1103,1
2189,1103,1
2529,1103,2
3280,1103,13
3335,1103,33
3729,1103,1
4109,1103,2
4173,1103,33
4258,1103,2
4458,1103,2
4896,1103,1
278,1272,22
315,1272,2
495,1272,8
589,1272,35
1032,1272,7
1103,1272,2
1275,1272,30
1459,1272,12
1786,1272,8
1804,1272,8
2173,1272,2
2189,1272,2
2446,1272,4
2529,1272,39
3211,1272,20
3280,1272,2
3335,1272,3
4109,1272,6
4173,1272,1
4896,1272,26
5048,1272,1
5391,1272,8
5445,1272,1
278,1424,8
495,1424,5
589,1424,5
1032,1424,2
1103,1424,1
1275,1424,9
1459,1424,67
1786,1424,25
1804,1424,25
2173,1424,7
2189,1424,7
2446,1424,12
2529,1424,39
3211,1424,37
3335,1424,2
4109,1424,15
4173,1424,1
4896,1424,33
5048,1424,8
5391,1424,7
5445,1424,2
278,1470,5
495,1470,4
589,1470,4
1032,1470,2
1275,1470,11
1459,1470,20
2173,1470,1
2189,1470,1
2446,1470,6
2529,1470,3
3211,1470,16
4109,1470,9
4173,1470,1
4896,1470,20
5048,1470,3
5391,1470,5
495,2086,2
2087,2086,1
3280,2086,1
3335,2086,2
3729,2086,2
4109,2086,1
4173,2086,16
278,2430,1
495,2430,1
1275,2430,5
1459,2430,11
1786,2430,1
1804,2430,1
2173,2430,7
2189,2430,7
2446,2430,3
2529,2430,13
3211,2430,23
3729,2430,1
4109,2430,9
4173,2430,6
4896,2430,62
5048,2430,12
5391,2430,20
5445,2430,7
278,2527,23
315,2527,2
495,2527,3
589,2527,7
1032,2527,2
1275,2527,38
1459,2527,49
1786,2527,4
1804,2527,4
2173,2527,13
2189,2527,13
2446,2527,22
2529,2527,3
3211,2527,34
3280,2527,4
3335,2527,1
3729,2527,1
4109,2527,12
4173,2527,2
4896,2527,57
5048,2527,5
5391,2527,3
5445,2527,3
278,3197,1
495,3197,1
589,3197,3
1032,3197,1
1103,3197,1
1275,3197,13
1459,3197,46
1786,3197,11
1804,3197,11
2446,3197,110
2529,3197,39
3211,3197,1
