link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0757:00_0758:00,33.000,1868.000,1834.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0758:00_0759:00,34.000,1901.000,1868.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0759:00_0800:00,33.000,1934.000,1901.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0800:00_0801:00,33.000,1968.000,1934.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0801:00_0802:00,34.000,2000.000,1968.000,10.667,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0802:00_0803:00,32.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0803:00_0804:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0804:00_0805:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0805:00_0806:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0806:00_0807:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0807:00_0808:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0808:00_0809:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0809:00_0810:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0810:00_0811:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0811:00_0812:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0812:00_0813:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0813:00_0814:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0814:00_0815:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0815:00_0816:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0816:00_0817:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0817:00_0818:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0818:00_0819:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0819:00_0820:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0820:00_0821:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0821:00_0822:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0822:00_0823:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0823:00_0824:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0824:00_0825:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0825:00_0826:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0826:00_0827:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0827:00_0828:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0828:00_0829:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0829:00_0830:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0830:00_0831:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0831:00_0832:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0832:00_0833:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0833:00_0834:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0834:00_0835:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0835:00_0836:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0836:00_0837:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0837:00_0838:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0838:00_0839:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0839:00_0840:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0840:00_0841:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0841:00_0842:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0842:00_0843:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0843:00_0844:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
