agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,
1,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:00;0702:00;0703:00;0704:00;0705:00;0706:00;0707:00;0708:00;0709:00;0710:00;0711:00;0712:00;,421.00;422.00;423.00;424.00;425.00;426.00;427.00;428.00;429.00;430.00;431.00;432.00;,1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
2,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:00;0702:00;0703:00;0704:00;0705:00;0706:00;0707:00;0708:01;0709:01;0710:01;0711:01;0712:01;,421.02;422.02;423.02;424.02;425.02;426.02;427.02;428.03;429.03;430.03;431.03;432.03;,1.00;1.00;1.00;1.00;1.00;1.00;1.02;1.00;1.00;1.00;1.00;
3,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:02;0702:02;0703:02;0704:02;0705:02;0706:02;0707:02;0708:04;0709:04;0710:04;0711:04;0712:04;,421.05;422.05;423.05;424.05;425.05;426.05;427.05;428.07;429.07;430.07;431.07;432.07;,1.00;1.00;1.00;1.00;1.00;1.00;1.02;1.00;1.00;1.00;1.00;
4,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:05;0702:05;0703:05;0704:05;0705:05;0706:05;0707:05;0708:07;0709:07;0710:07;0711:07;0712:07;,421.08;422.08;423.08;424.08;425.08;426.08;427.08;428.13;429.13;430.13;431.13;432.13;,1.00;1.00;1.00;1.00;1.00;1.00;1.05;1.00;1.00;1.00;1.00;
5,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:07;0702:07;0703:07;0704:07;0705:07;0706:07;0707:07;0708:17;0709:17;0710:17;0711:17;0712:17;,421.12;422.12;423.12;424.12;425.12;426.12;427.12;428.30;429.30;430.30;431.30;432.30;,1.00;1.00;1.00;1.00;1.00;1.00;1.18;1.00;1.00;1.00;1.00;
6,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:08;0702:08;0703:08;0704:08;0705:08;0706:08;0707:08;0708:20;0709:20;0710:20;0711:20;0712:20;,421.15;422.15;423.15;424.15;425.15;426.15;427.15;428.33;429.33;430.33;431.33;432.33;,1.00;1.00;1.00;1.00;1.00;1.00;1.18;1.00;1.00;1.00;1.00;
7,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:09;0702:09;0703:09;0704:09;0705:09;0706:09;0707:09;0708:21;0709:21;0710:21;0711:21;0712:21;,421.17;422.17;423.17;424.17;425.17;426.17;427.17;428.35;429.35;430.35;431.35;432.35;,1.00;1.00;1.00;1.00;1.00;1.00;1.18;1.00;1.00;1.00;1.00;
8,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:12;0702:12;0703:12;0704:12;0705:12;0706:12;0707:12;0708:24;0709:24;0710:24;0711:24;0712:24;,421.20;422.20;423.20;424.20;425.20;426.20;427.20;428.42;429.42;430.42;431.42;432.42;,1.00;1.00;1.00;1.00;1.00;1.00;1.22;1.00;1.00;1.00;1.00;
9,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:14;0702:14;0703:14;0704:14;0705:14;0706:14;0707:14;0708:25;0709:25;0710:25;0711:25;0712:25;,421.23;422.23;423.23;424.23;425.23;426.23;427.23;428.43;429.43;430.43;431.43;432.43;,1.00;1.00;1.00;1.00;1.00;1.00;1.20;1.00;1.00;1.00;1.00;
10,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:15;0702:15;0703:15;0704:15;0705:15;0706:15;0707:15;0708:30;0709:30;0710:30;0711:30;0712:30;,421.27;422.27;423.27;424.27;425.27;426.27;427.27;428.50;429.50;430.50;431.50;432.50;,1.00;1.00;1.00;1.00;1.00;1.00;1.23;1.00;1.00;1.00;1.00;
11,1,2,0,1,2,p,AM,1,0.0,11.0515,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0701:17;0702:17;0703:17;0704:17;0705:17;0706:17;0707:17;0708:34;0709:34;0710:34;0711:34;0712:34;,421.30;422.30;423.30;424.30;425.30;426.30;427.30;428.57;429.57;430.57;431.57;432.57;,1.00;1.00;1.00;1.00;1.00;1.00;1.27;1.00;1.00;1.00;1.00;
