link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed
78,3,4,1/1/2016,7,1,0900_1400,154.0,30.8,73.76666666649999,0.41806377426475355,0,0,25.0,12.0,2.75,0,73.11111111000001
78,3,4,1/10/2016,7,1,0900_1400,321.0,64.2,72.966666667,0.8766166310641298,0,0,30.0,12.0,2.168918918918919,0,71.6666666675
78,3,4,1/11/2016,7,1,0900_1400,476.0,100.21052631578948,72.4473684205263,1.387142082056719,0,0,55.0,72.0,2.2037037037037037,0,72.1666666675
78,3,4,1/12/2016,7,1,0900_1400,509.0,101.8,72.6500000005,1.4007959997907231,0,0,93.0,76.0,3.1036585365853657,0,72.1666666675
78,3,4,1/13/2016,7,1,0900_1400,577.0,115.4,73.49999999949999,1.5716074824995814,0,0,114.0,56.0,2.885,0,73.4999999975
78,3,4,1/14/2016,7,1,0900_1400,492.0,98.4,73.15,1.3466485412505953,0,0,57.0,64.0,3.075,0,72.75
78,3,4,1/15/2016,7,1,0900_1400,575.0,115.0,70.5166666655,1.63732150818691,0,0,141.0,32.0,2.8186274509803924,0,70.22222222333333
78,3,4,1/16/2016,7,1,0900_1400,373.0,74.6,71.625,1.0584686821201619,0,0,109.0,44.0,2.33125,0,67.22222222333333
78,3,4,1/17/2016,7,1,0900_1400,364.0,72.8,72.94999999950001,0.9970051623199134,0,0,55.0,56.0,2.3947368421052633,0,70.4166666675
78,3,4,1/18/2016,7,1,0900_1400,371.0,74.2,73.55,1.0040394194298201,0,0,47.0,20.0,1.8928571428571428,0,71.58333333499999
78,3,4,1/19/2016,7,1,0900_1400,521.0,104.2,72.266666666,1.4454676115822331,0,0,70.0,76.0,2.7135416666666665,0,71.9166666675
78,3,4,1/2/2016,7,1,0900_1400,249.0,49.8,73.4,0.6794460066092197,0,0,52.0,24.0,2.49,0,73.625
78,3,4,1/20/2016,7,1,0900_1400,510.0,102.0,73.008333334,1.3993316325337242,0,0,115.0,52.0,2.8333333333333335,0,71.4166666675
78,3,4,1/21/2016,7,1,0900_1400,512.0,102.4,72.79999999949999,1.4067438110712054,0,0,83.0,52.0,2.723404255319149,0,70.9166666675
78,3,4,1/23/2016,7,1,0900_1400,406.0,81.2,73.0583333335,1.106199680882559,0,0,40.0,56.0,2.8194444444444446,0,71.45833333499999
78,3,4,1/24/2016,7,1,0900_1400,353.0,70.6,73.333333333,0.9647836209530875,0,0,44.0,36.0,3.043103448275862,0,72.25
78,3,4,1/25/2016,7,1,0900_1400,510.0,102.0,73.25000000050001,1.396832308347536,0,0,82.0,28.0,2.8333333333333335,0,72.0
78,3,4,1/26/2016,7,1,0900_1400,535.0,107.0,72.7249999995,1.4707158462960357,0,0,149.0,100.0,2.9722222222222223,0,72.24999999750001
78,3,4,1/27/2016,7,1,0900_1400,468.0,93.6,72.94166666699999,1.2802513219464273,0,0,66.0,48.0,2.5434782608695654,0,72.5000000025
78,3,4,1/28/2016,7,1,0900_1400,547.0,109.4,71.05000000050002,1.5436297358930369,0,0,120.0,72.0,3.1802325581395348,0,69.58333333499999
78,3,4,1/29/2016,7,1,0900_1400,679.0,135.8,72.716666667,1.8707553625191355,0,0,76.0,92.0,2.65234375,0,72.9166666675
78,3,4,1/3/2016,7,1,0900_1400,309.0,61.8,72.19999999849999,0.8605286675057687,0,0,78.0,40.0,2.4919354838709675,0,70.1666666675
78,3,4,1/30/2016,7,1,0900_1400,416.0,83.2,72.75,1.1405844711212907,0,0,40.0,40.0,2.810810810810811,0,70.0
