link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,period_peak_hour_factor,ultimate_capacity,period_capacity,period_demand_over_capacity,hourly_demand_over_capacity,period_mean_volume,period_mean_speed,alpha,beta,VDF_TYPE,daily_alpha,daily_beta
78,3,4,1/1/2016,0,1,0600_0900,1815.0,605.0,71.80555555583334,8.402784660783972,0,0,362.0,420.0,1.3544776119402986,0.0,69.5,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.17722861317009178,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/10/2016,0,1,0600_0900,1185.0,395.0,72.05555555583334,5.50175847139711,0,0,382.0,368.0,2.37,0.0,69.9166666675,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.1870202492568372,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/11/2016,0,1,0600_0900,1694.0,564.6666666666666,71.80555555666668,7.869717831425045,0,0,556.0,364.0,2.4622093023255816,0.0,71.9166666675,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.2722074832115222,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/12/2016,0,1,0600_0900,1485.0,495.0,71.66666666666667,6.917757128455935,0,0,474.0,316.0,2.1584302325581395,0.0,71.5,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.23206177525586605,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/13/2016,0,1,0600_0900,1582.0,527.3333333333334,71.49999999833334,7.373842473152934,0,0,592.0,360.0,2.4263803680981595,0.0,71.66666666500001,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.2898324281676639,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/14/2016,0,1,0600_0900,1500.0,500.0,71.36111111,7.008117764112755,0,0,481.0,388.0,2.4671052631578947,0.0,70.74999999750001,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.23548884788622693,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/15/2016,0,1,0600_0900,921.0,409.3333333333333,71.57407407333334,5.749179773464318,0,0,151.0,24.0,1.1455223880597014,0.0,71.9583333325,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.07392685245492779,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/16/2016,0,1,0600_0900,1860.0,620.0,73.58333333333334,8.42978801115041,0,0,602.0,304.0,2.039473684210526,0.0,73.33333333333333,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.2947282462110366,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/17/2016,0,1,0600_0900,1087.0,362.3333333333333,71.72222222166666,5.074883648942225,0,0,328.0,324.0,2.2645833333333334,0.0,69.0,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.16058283182262462,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/18/2016,0,1,0600_0900,1458.0,486.0,71.805555555,6.761031307907384,0,0,446.0,312.0,2.398026315789474,0.0,71.33333333,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.21835348473442248,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/19/2016,0,1,0600_0900,1503.0,501.0,71.86111111166666,6.9864417479829015,0,0,415.0,284.0,2.4558823529411766,0.0,71.44444444333334,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.2031764487999671,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/2/2016,0,1,0600_0900,1215.0,405.0,73.11111111083333,5.54976532630461,0,0,375.0,252.0,2.25,0.0,72.22222222333333,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.1835931766264763,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/20/2016,0,1,0600_0900,1602.0,534.0,71.5833333325,7.470536232079695,0,0,423.0,400.0,2.442073170731707,0.0,70.88888888999999,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.20709310323466526,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/21/2016,0,1,0600_0900,1649.0,549.6666666666666,71.05555555583334,7.740437297836216,0,0,531.0,388.0,2.468562874251497,0.0,70.75,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.25996793810309043,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/22/2016,0,1,0600_0900,1703.0,567.6666666666666,71.47222222166667,7.975921842242972,0,0,468.0,344.0,2.2767379679144386,0.0,70.0,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.22912428442984242,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
78,3,4,1/23/2016,0,1,0600_0900,1713.0,571.0,72.75000000166666,7.84836565642576,0,0,451.0,300.0,2.14125,0.0,72.58333333499999,2.1869142890726967,2042.559570516852,4466.9027110454945,0.41066026796369853,0.22080139375610883,1834.3794642857142,70.86800348304561,3.23,3.85,100,0.54,4.24
