link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed
78,3,4,1/1/2016,7,1,0600_0900,64.0,21.333333333333332,71.08333333416668,0.2988703626403177,0,0,13.0,20.0,1.6,0,68.5416666675
78,3,4,1/10/2016,7,1,0600_0900,35.0,12.727272727272727,72.04545454545455,0.17608570429330175,0,0,12.0,16.0,1.75,0,71.25
78,3,4,1/11/2016,7,1,0600_0900,102.0,34.0,73.43055555583334,0.4632334110610509,0,0,23.0,32.0,1.8214285714285714,0,72.83333333499999
78,3,4,1/12/2016,7,1,0600_0900,109.0,36.333333333333336,73.11111111083333,0.4974164037978857,0,0,39.0,16.0,1.4342105263157894,0,71.91666666500001
78,3,4,1/13/2016,7,1,0600_0900,106.0,35.333333333333336,72.694444445,0.49088642907144164,0,0,22.0,8.0,1.4722222222222223,0,73.4166666675
78,3,4,1/14/2016,7,1,0600_0900,109.0,36.333333333333336,71.98611111166666,0.5043281105862972,0,0,42.0,8.0,1.703125,0,70.4166666675
78,3,4,1/16/2016,7,1,0600_0900,84.0,28.0,70.20833333333333,0.3952020956078757,0,0,22.0,36.0,1.4,0,70.625
78,3,4,1/17/2016,7,1,0600_0900,427.0,142.33333333333334,70.444444445,2.02041756662951,0,0,89.0,80.0,1.3863636363636365,0,68.9166666675
78,3,4,1/18/2016,7,1,0600_0900,53.0,19.272727272727273,71.69696969727273,0.27217266761493064,0,0,27.0,8.0,1.1041666666666667,0,71.25
78,3,4,1/19/2016,7,1,0600_0900,119.0,39.666666666666664,74.18055555583332,0.5381158676089802,0,0,58.0,24.0,1.2395833333333333,0,72.8333333325
78,3,4,1/2/2016,7,1,0600_0900,60.0,20.0,72.06944444416668,0.2801695158088892,0,0,24.0,16.0,1.6666666666666667,0,70.4583333325
78,3,4,1/20/2016,7,1,0600_0900,120.0,40.0,73.19444444416666,0.5493824768750958,0,0,35.0,4.0,1.5789473684210527,0,71.55555555333335
78,3,4,1/21/2016,7,1,0600_0900,128.0,42.666666666666664,72.90277777833333,0.5826695980350062,0,0,22.0,20.0,1.4545454545454546,0,71.9583333325
78,3,4,1/22/2016,7,1,0600_0900,103.0,37.45454545454545,74.01515151636364,0.503434301013818,0,0,24.0,12.0,1.1195652173913044,0,72.44444444666665
78,3,4,1/23/2016,7,1,0600_0900,69.0,23.0,74.83333333333333,0.309877133637073,0,0,26.0,20.0,1.3269230769230769,0,73.4166666675
78,3,4,1/24/2016,7,1,0600_0900,53.0,17.666666666666668,71.56944444416666,0.2466020073695392,0,0,18.0,12.0,1.2045454545454546,0,69.625
78,3,4,1/25/2016,7,1,0600_0900,120.0,40.0,72.49999999916668,0.5523204520455527,0,0,38.0,24.0,1.4285714285714286,0,71.61111111000001
78,3,4,1/26/2016,7,1,0600_0900,118.0,39.333333333333336,73.65277777666667,0.5374154562419097,0,0,48.0,32.0,1.84375,0,73.0833333325
78,3,4,1/27/2016,7,1,0600_0900,122.0,40.666666666666664,72.16666666583335,0.5633363823304164,0,0,43.0,20.0,1.605263157894737,0,70.58333333499999
78,3,4,1/28/2016,7,1,0600_0900,132.0,44.0,72.5833333325,0.6044654407477484,0,0,26.0,28.0,1.65,0,72.0833333325
78,3,4,1/29/2016,7,1,0600_0900,105.0,35.0,74.23611111083333,0.47508775778457,0,0,42.0,16.0,1.640625,0,73.166666665
78,3,4,1/3/2016,7,1,0600_0900,56.0,18.666666666666668,69.36111111166667,0.26922953278494494,0,0,18.0,16.0,1.75,0,65.375
78,3,4,1/30/2016,7,1,0600_0900,66.0,24.0,73.45454545545455,0.3260094912733145,0,0,21.0,16.0,1.2692307692307692,0,72.6666666675
78,3,4,1/31/2016,7,1,0600_0900,50.0,16.666666666666668,73.00000000083334,0.23080116992165864,0,0,12.0,16.0,1.3888888888888888,0,73.9166666675
78,3,4,1/5/2016,7,1,0600_0900,113.0,37.666666666666664,71.87500000083334,0.5233735882391782,0,0,21.0,8.0,1.765625,0,71.125
78,3,4,1/6/2016,7,1,0600_0900,104.0,34.666666666666664,72.95833333416668,0.47606579652579906,0,0,30.0,12.0,2.0,0,71.625
78,3,4,1/7/2016,7,1,0600_0900,120.0,40.0,71.26388888833334,0.5648329628343851,0,0,59.0,12.0,1.4285714285714286,0,68.66666666500001
