link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed
78,3,4,1/1/2016,0,1,0600_0900,1815.0,605.0,71.80555555583334,8.402784660783972,0,0,362.0,420.0,1.3544776119402986,0,69.5
78,3,4,1/10/2016,0,1,0600_0900,1185.0,395.0,72.05555555583334,5.50175847139711,0,0,382.0,368.0,2.37,0,69.9166666675
78,3,4,1/11/2016,0,1,0600_0900,1694.0,564.6666666666666,71.80555555666668,7.869717831425045,0,0,556.0,364.0,2.4622093023255816,0,71.9166666675
78,3,4,1/12/2016,0,1,0600_0900,1485.0,495.0,71.66666666666667,6.917757128455935,0,0,474.0,316.0,2.1584302325581395,0,71.5
78,3,4,1/13/2016,0,1,0600_0900,1582.0,527.3333333333334,71.49999999833334,7.373842473152934,0,0,592.0,360.0,2.4263803680981595,0,71.66666666500001
78,3,4,1/14/2016,0,1,0600_0900,1500.0,500.0,71.36111111,7.008117764112755,0,0,481.0,388.0,2.4671052631578947,0,70.74999999750001
78,3,4,1/15/2016,0,1,0600_0900,921.0,409.3333333333333,71.57407407333334,5.749179773464318,0,0,151.0,24.0,1.1455223880597014,0,71.9583333325
78,3,4,1/16/2016,0,1,0600_0900,1860.0,620.0,73.58333333333334,8.42978801115041,0,0,602.0,304.0,2.039473684210526,0,73.33333333333333
78,3,4,1/17/2016,0,1,0600_0900,1087.0,362.3333333333333,71.72222222166666,5.074883648942225,0,0,328.0,324.0,2.2645833333333334,0,69.0
78,3,4,1/18/2016,0,1,0600_0900,1458.0,486.0,71.805555555,6.761031307907384,0,0,446.0,312.0,2.398026315789474,0,71.33333333
78,3,4,1/19/2016,0,1,0600_0900,1503.0,501.0,71.86111111166666,6.9864417479829015,0,0,415.0,284.0,2.4558823529411766,0,71.44444444333334
78,3,4,1/2/2016,0,1,0600_0900,1215.0,405.0,73.11111111083333,5.54976532630461,0,0,375.0,252.0,2.25,0,72.22222222333333
78,3,4,1/20/2016,0,1,0600_0900,1602.0,534.0,71.5833333325,7.470536232079695,0,0,423.0,400.0,2.442073170731707,0,70.88888888999999
78,3,4,1/21/2016,0,1,0600_0900,1649.0,549.6666666666666,71.05555555583334,7.740437297836216,0,0,531.0,388.0,2.468562874251497,0,70.75
78,3,4,1/22/2016,0,1,0600_0900,1703.0,567.6666666666666,71.47222222166667,7.975921842242972,0,0,468.0,344.0,2.2767379679144386,0,70.0
78,3,4,1/23/2016,0,1,0600_0900,1713.0,571.0,72.75000000166666,7.84836565642576,0,0,451.0,300.0,2.14125,0,72.58333333499999
78,3,4,1/24/2016,0,1,0600_0900,1037.0,345.6666666666667,71.86111111166667,4.826768913832282,0,0,323.0,380.0,2.160416666666667,0,68.8333333325
78,3,4,1/25/2016,0,1,0600_0900,1636.0,545.3333333333334,71.3333333325,7.644835444707127,0,0,591.0,444.0,2.3641618497109826,0,71.3333333325
78,3,4,1/26/2016,0,1,0600_0900,1535.0,511.6666666666667,71.47222222166668,7.163823461386358,0,0,573.0,348.0,2.491883116883117,0,70.8333333325
78,3,4,1/27/2016,0,1,0600_0900,1688.0,562.6666666666666,71.33333333333334,7.894032246837175,0,0,439.0,388.0,2.384180790960452,0,70.55555555666666
78,3,4,1/28/2016,0,1,0600_0900,1769.0,589.6666666666666,70.9722222225,8.32187468349529,0,0,553.0,384.0,2.222361809045226,0,70.75
