link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed
78,3,4,1/1/2016,1,1,1400_1800,4776.5,1194.125,64.32812499874998,18.561024395628333,0,0,1159.25,1183.0,3.7758893280632413,0.0,63.395833332500004
78,3,4,1/10/2016,1,1,1400_1800,5419.0,1354.75,63.744791665624994,21.252273565424048,0,0,1337.75,1364.0,3.7605829285218597,0.0,63.354166667499996
78,3,4,1/11/2016,1,1,1400_1800,3367.5,1036.1538461538462,28.589743589999994,40.83994878621241,0,12,3367.5,1036.1538461538462,1.0,3.25,28.589743589999994
78,3,4,1/12/2016,1,1,1400_1800,4482.75,1120.6875,24.848958332687502,69.79321314101654,1,15,4077.0,1087.2,1.0995217071376011,3.75,22.683333332866667
78,3,4,1/13/2016,1,1,1400_1800,4600.75,1150.1875,27.161458333375002,55.55814413425832,2,15,3771.75,1077.642857142857,1.2197918737986346,3.5,22.708333333142857
78,3,4,1/14/2016,1,1,1400_1800,4548.25,1137.0625,25.656250001187498,66.66195337605915,3,15,3349.75,1030.6923076923076,1.3577878946190014,3.25,19.53846153915385
78,3,4,1/15/2016,1,1,1400_1800,4267.0,1066.75,20.184895832687502,69.12177911960684,0,15,4267.0,1066.75,1.0,4.0,20.1848958326875
78,3,4,1/16/2016,1,1,1400_1800,4676.0,1169.0,27.338541666250002,45.90521603376092,0,14,4341.5,1157.7333333333333,1.0770471035356444,3.75,25.394444444
78,3,4,1/17/2016,1,1,1400_1800,5586.5,1396.625,63.411458333125005,22.023488697018262,0,0,1302.25,1460.0,3.7119601328903653,0.0,62.583333335000006
78,3,4,1/18/2016,1,1,1400_1800,5851.0,1462.75,44.16145833375,33.79700459355973,2,15,5040.0,1440.0,1.1609126984126985,3.5,42.07738095285715
78,3,4,1/19/2016,1,1,1400_1800,4747.75,1186.9375,26.9765625,56.96371959053525,0,15,4747.75,1186.9375,1.0,4.0,26.9765625
78,3,4,1/2/2016,1,1,1400_1800,5754.75,1438.6875,64.562500000625,22.279283202685857,0,0,1030.25,1454.0,3.663112667091025,0.0,63.166666666666664
78,3,4,1/20/2016,1,1,1400_1800,4580.25,1145.0625,26.60937500025,59.06690070077407,2,15,3776.25,1078.9285714285713,1.2129096325719961,3.5,22.61309523885714
78,3,4,1/21/2016,1,1,1400_1800,4636.0,1159.0,27.75,53.67110190850426,1,15,4251.0,1133.6,1.0905669254293107,3.75,25.616666666666667
78,3,4,1/22/2016,1,1,1400_1800,4773.5,1193.375,30.338541665625005,43.142703737569384,0,15,4773.5,1193.375,1.0,4.0,30.338541665625
78,3,4,1/23/2016,1,1,1400_1800,5890.5,1472.625,47.3958333325,31.65657069555866,4,15,4320.25,1440.0833333333333,1.3634627625716105,3.0,43.1875
78,3,4,1/24/2016,1,1,1400_1800,5331.75,1332.9375,63.75000000000001,20.90740027091657,0,0,1232.75,1435.0,3.4939384010484926,0.0,62.583333332500004
78,3,4,1/25/2016,1,1,1400_1800,4348.5,1087.125,25.276041667249995,59.34878144844508,2,15,3557.75,1016.5,1.222261260628206,3.5,21.26190476257143
78,3,4,1/26/2016,1,1,1400_1800,4593.5,1148.375,28.8177083339375,49.90577582769227,4,15,3097.75,1032.5833333333333,1.4828504559761118,3.0,20.687500000249997
