link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
10024AB,12391,27808,1/1/2018,6,1,1800_0600,2317.75,201.54347826086956,24.71041468456522,7.871864477246985,6,11,66.75,44.5,32.88268600356879,1.5,6.09481210127364,0.012840194033582107
10024BA,27808,12391,1/1/2018,6,1,1800_0600,1396.3333333433332,121.42028985594202,25.92743288717392,4.4655975811070485,21,21,91.33333333,93.33333332000001,15.288321168550667,0.25,2304.566371989002,0.010716919514128653
10035AB,12407,12408,1/1/2018,6,1,1800_0600,497.125,41.427083333333336,37.538020833333334,1.1077477156076903,0,0,133.25,17.5,3.730769230769231,0.25,1.639832632038677,4.067045218349893e-05
10040AB,12389,12417,1/1/2018,6,1,1800_0600,1149.0,95.75,36.14607635625,2.670317017208409,0,0,21.5,68.66666666666667,16.301243109956012,0.25,41.80885717220178,0.0002642651267458142
10040BA,12417,12389,1/1/2018,6,1,1800_0600,1180.52479846,98.37706653833334,28.449113036458332,3.4909725433701553,0,0,64.18471288333333,35.4949286,16.74849585468084,0.25,550.2443242957089,0.006728322347122609
10127AB,9854,9807,1/1/2018,6,1,1800_0600,831.4523809386667,69.28769841155555,38.278852379166665,1.7898267615591956,0,0,18.547619046666668,30.666666666666668,11.796089987844178,0.25,0.0,0.0
10127BA,9807,9854,1/1/2018,6,1,1800_0600,759.166666684,63.263888890333334,24.991331535416666,2.493762732210254,0,3,14.999999999999998,14.999999999999998,10.770548646293149,1.0,6.714913453005795,0.012435024912973694
10184AB,12465,12459,1/1/2018,6,1,1800_0600,1052.0000000055,87.666666667125,40.55218557875,2.148032039633298,0,0,18.6666666645,38.0,14.925072020681792,0.25,1.1503645657020933,1.3139215160157315e-05
10184BA,12459,12465,1/1/2018,6,1,1800_0600,744.5000000073333,62.041666667277774,28.284907184791667,2.1427545987498653,0,0,68.66666667000001,24.0,10.562467794152996,0.25,388.2502574747885,0.00702130818639302
10198AB,12529,12515,1/1/2018,6,1,1800_0600,1219.3333333563332,101.61111111302777,28.36700113541667,3.585373844129087,0,0,151.33333333333334,46.666666666666664,8.057268722618941,0.25,752.8632338643474,0.007002076207815733
10198BA,12515,12529,1/1/2018,6,1,1800_0600,1446.6666666666667,120.55555555555556,27.775978905625,4.29958077861881,21,21,119.83333333,108.0,12.07232267071133,0.25,1972.3798438214496,0.007926552227291706
10210AB,12531,12415,1/1/2018,6,1,1800_0600,1745.0,145.41666666666666,22.9352249925,6.530526057889108,20,21,215.5,205.0,8.097447795823665,0.5,907.438116440609,0.015369886796080772
10210BA,12415,12531,1/1/2018,6,1,1800_0600,1778.5,148.20833333333334,22.9352249925,6.643556915804346,20,21,173.0,180.5,10.280346820809248,0.5,798.9881952074628,0.015369886796080772
