link_id,from_node_id,to_node_id,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,VOC,VOC_period,alpha,beta,peak_factor,period_cap,vol_valid,demand_est
10072AB,12413,12466,1,1,0600_0900,4597.166666666666,1532.3888888888887,65.8111111125,23.29033687012047,0.0,0.0,1616.5,0.9578086861163355,0.9651255250492832,0.37,5.64,2.8439014331374364,4799.671096434694,1681.963028052206,4597.166666666666
10076AB,12467,12451,1,1,0600_0900,5227.166666666667,1742.388888888889,59.783333331666675,29.281491765936423,0.0,0.0,1782.8333333333333,1.0563645237020767,0.9651255250492832,0.37,5.64,2.931943535570721,4948.260330011678,1671.6278504775587,5227.166666666667
10080AB,12469,12470,1,1,0600_0900,4419.0,1473.0,55.119444445,28.121495713136934,6.0,9.0,1568.1666666666667,0.9291702162767915,0.9651255250492832,0.37,5.64,2.817940269954299,4755.856271100729,1669.4452057477624,4419.0
10085AB,12478,12479,1,1,0600_0900,4202.5,1400.8333333333333,53.15000000166666,26.369298492547,0.0,0.0,1418.1666666666665,0.8402922064299307,0.9651255250492832,0.37,5.64,2.963332941591257,5001.236436375818,1588.0246351226167,4202.5
10360AB,12596,12614,1,1,0600_0900,4162.666666666667,1387.5555555555557,61.83680555666666,22.547901656788667,0.0,0.0,1404.9166666666665,0.8324413155601247,0.9651255250492832,0.37,5.64,2.962927813037547,5000.552698259256,1577.9922661916316,4162.666666666667
10363AB,12612,12591,1,1,0600_0900,4262.6,1420.8666666666668,50.20333333333334,28.621474416623276,7.0,11.0,1652.3,0.979020904466453,0.9651255250492832,0.37,5.64,2.5797978575319256,4353.941760133338,1686.6966754633233,4262.6
10519AB,12682,12698,1,1,0600_0900,3298.0999999999995,1099.3666666666666,40.49,27.289480049114015,0.0,11.0,3298.0999999999995,1.9541904285062084,0.9651255250492832,0.37,5.64,1.0,1687.706557093866,552.7491317131958,3298.0999999999995
10520AB,12699,12683,1,1,0600_0900,3194.125,1064.7083333333333,57.17916666666667,19.012295708077904,8.0,11.0,1108.75,0.656956622784712,0.9651255250492832,0.37,5.64,2.8808342728297633,4862.00289215553,1268.2595536759377,3194.1249999999995
11352AB,13120,13121,1,1,0600_0900,4235.799999999999,1411.9333333333332,51.782500000000006,29.245600461696743,3.0,7.0,1730.6999999999998,1.0254744776130786,0.9651255250492832,0.37,5.64,2.447449009071474,4130.575740762812,1683.6050500243127,4235.799999999999
11533AB,13109,13237,1,1,0600_0900,3318.75,1106.25,68.59513888916668,16.125895536780934,0.0,0.0,1068.0,0.6328114301096482,0.9651255250492832,0.37,5.64,3.107443820224719,5244.453311194071,1217.0909154141261,3318.75
11877AB,13389,9486,1,1,0600_0900,2690.3999999999996,896.7999999999998,73.655,12.181954115445203,0.0,0.0,894.4999999999999,0.5300091987201127,0.9651255250492832,0.37,5.64,3.0077138065958637,5076.138313253591,990.5152283091098,2690.4
11878AB,9448,13332,1,1,0600_0900,4780.625,1593.5416666666667,35.784375,47.35423786376418,2.0,11.0,3851.125,2.281868837809943,0.9651255250492832,0.37,5.64,1.2413580447271901,2095.048111787299,363.3256452161707,4780.625
