link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
12816AB,13890,13831,1/1/2018,1,3,0600_0900,5388.333333333333,1796.111111111111,44.4583333325,42.09001322519938,0,11,5388.333333333333,1796.111111111111,1.0,3.0,22.186430978540542,0.009264361837621322
12817AB,13834,13891,1/1/2018,1,3,0600_0900,2552.875,850.9583333333334,64.12708333333333,13.29880132190202,0,0,968.625,519.0,2.6355658794683183,0.25,1812.1251190396977,0.0015154386097728147
15973AB,15603,15634,1/1/2018,1,3,0600_0900,4035.8,1345.2666666666667,67.45499999999998,20.023332440438118,0,0,1529.1,792.0,2.639330325027794,0.25,1364.0668694726103,0.0007475289294160192
15974AB,15633,15606,1/1/2018,1,3,0600_0900,4489.2,1496.3999999999999,62.97749999999999,23.91464048540946,9,9,1526.6,1499.6,2.940652430237128,0.25,6362.648885154361,0.0018415353136861847
17194AB,15861,16270,1/1/2018,1,3,0600_0900,3101.3999999999996,1033.8,72.93083333333334,14.182086439065282,0,0,1151.6,706.8,2.693122612018062,0.25,0.0,0.0
19260AB,17510,17511,1/1/2018,1,3,0600_0900,2694.7000000000003,898.2333333333335,72.32249999999999,12.412309467900137,0,0,891.0999999999999,654.0,3.024015262035687,0.25,0.0,0.0
19376AB,17570,17589,1/1/2018,1,3,0600_0900,3222.3,1074.1000000000001,71.71166666666666,14.981146249582409,0,0,997.9999999999999,864.0,3.2287575150300607,0.25,0.9876500088313271,4.961429844389624e-07
19378AB,17590,17568,1/1/2018,1,3,0600_0900,1660.0833333199998,553.3611111066666,74.325,7.442446118874018,0,0,521.8333333200001,424.66666664,3.181251996223091,0.25,0.0,0.0
19446AB,17497,17612,1/1/2018,1,3,0600_0900,1618.8000000000002,539.6,72.88916666666667,7.393288345759682,0,0,468.5,349.6,3.4552828175026686,0.25,0.0,0.0
20749AB,18299,18300,1/1/2018,1,3,0600_0900,3112.5,1037.5,70.45,14.760720141906846,0,0,1205.375,564.5,2.582183967644924,0.25,201.03666054193127,0.0001545712932274223
20750AB,18301,18302,1/1/2018,1,3,0600_0900,3880.0,1293.3333333333333,57.32499999999999,23.083143787363642,3,8,1884.125,1256.0833333333333,2.0593113514230743,1.5,51.4422198736005,0.003839481016240998
2193AB,7650,7651,1/1/2018,1,3,0600_0900,4283.75,1427.9166666666667,64.12291666666667,22.458198040817948,0,1,1507.25,1444.5,2.8420965334217945,0.5,656.6833301019743,0.0015785049856302986
2224AB,7702,7703,1/1/2018,1,3,0600_0900,3531.875,1177.2916666666667,70.51979166666668,16.694098109104303,0,0,1139.5,962.5,3.0994953927161037,0.25,213.00214839057,9.6050752340625e-05
25848AB,21369,21370,1/1/2018,1,3,0600_0900,5516.166666666666,1838.722222222222,64.95138889,28.441774108907964,5,5,1946.1666666666667,1980.6666666666667,2.8343752676201075,0.25,6161.299263387461,0.001350138856030925
25850AB,21373,21374,1/1/2018,1,3,0600_0900,6031.666666666666,2010.5555555555554,72.8902777775,27.614152449504285,0,0,2187.833333333333,1405.3333333333333,2.7569132322693686,0.25,0.0,0.0
26399AB,21708,21709,1/1/2018,1,3,0600_0900,4583.6666665,1527.8888888333333,45.95000000083334,34.689153296003916,4,11,2871.3333332499997,1435.6666666249998,1.5963547712908162,2.0,59.427228147836324,0.009198549361436586
26400AB,21710,21711,1/1/2018,1,3,0600_0900,3301.625,1100.5416666666667,71.23437500000001,15.475301586891888,0,0,1230.625,636.0,2.682884713052311,0.25,94.17716323195255,6.426966175311227e-05
32157AB,16291,15858,1/1/2018,1,3,0600_0900,4348.4,1449.4666666666665,72.43666666666665,20.015405567761853,0,0,1460.4,1404.4,2.9775403998904406,0.25,0.0,0.0
3951AB,8759,8760,1/1/2018,1,3,0600_0900,3329.375,1109.7916666666667,64.71354166666667,17.161149130624015,0,0,1165.875,942.0,2.8556877881419536,0.25,2977.143233357967,0.0013717227831215569
4433AB,6066,9026,1/1/2018,1,3,0600_0900,3185.5,1061.8333333333333,71.20729166666668,14.916703507477997,0,0,1000.75,720.5,3.1831126655008743,0.25,46.24365119679746,2.785708419885729e-05
4437AB,9029,6087,1/1/2018,1,3,0600_0900,4926.833333333333,1642.2777777777776,73.41527777833333,22.386606088340788,0,0,1833.0000000000002,1350.6666666666667,2.6878523367885063,0.25,0.0,0.0
4607AB,9071,9125,1/1/2018,1,3,0600_0900,3658.125,1219.375,69.72500000000001,17.515343863748573,0,0,1340.0,1113.5,2.7299440298507465,0.25,679.8595952689981,0.00026500040353435355
4608AB,9126,9059,1/1/2018,1,3,0600_0900,2564.3999999999996,854.7999999999998,21.89083333333333,44.2257440240584,0,11,2564.3999999999996,854.7999999999998,1.0,3.0,43.60058838849369,0.03825507872177149
