link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time,VOC_period,VOC,alpha,beta,VDF_TYPE,alpha_day,beta_day
11877AB,13389,9486,1/1/2018,1,1,0600_0900,2690.3999999999996,896.7999999999998,73.655,12.181954115445203,0,0,894.4999999999999,824.0,3.0077138065958637,0.25,0.0,0.0,0.9651255250492832,0.5300091987201127,0.37,5.64,101,0.3,4.5
11878AB,9448,13332,1/1/2018,1,1,0600_0900,4780.625,1593.5416666666667,35.784375,47.35423786376418,2,11,3851.125,1540.45,1.2413580447271901,2.5,57.319747958848886,0.01615006188409977,0.9651255250492832,2.281868837809943,0.37,5.64,101,0.3,4.5
40714AB,37377,11145,1/1/2018,1,1,0600_0900,3014.8333333333335,1004.9444444444445,63.14583333416667,15.934715370712967,0,0,1081.0,1052.6666666666667,2.7889300030835646,0.25,3770.6049075427745,0.0015546680831843955,0.9651255250492832,0.6405141909630429,0.37,5.64,101,0.3,4.5
7230AB,10937,10938,1/1/2018,1,1,0600_0900,3298.125,1099.375,62.772916666666674,17.53124113876041,0,0,1060.25,880.5,3.1107050224003774,0.25,3343.247119968951,0.0016479978626258707,0.9651255250492832,0.6282193996008938,0.37,5.64,101,0.3,4.5
7279AB,10737,10941,1/1/2018,1,1,0600_0900,4122.25,1374.0833333333333,38.880208333333336,36.950312229804474,0,4,1790.625,1432.5,2.302129144851658,1.25,329.30173763722826,0.01247173659729904,0.9651255250492832,1.0609812425468996,0.37,5.64,101,0.3,4.5
7348AB,11007,10994,1/1/2018,1,1,0600_0900,3355.1000000000004,1118.3666666666668,27.48416666666667,40.75270338862875,0,11,3355.1000000000004,1118.3666666666668,1.0,3.0,33.09404786718407,0.02219355837416594,0.9651255250492832,1.9879640722480159,0.37,5.64,101,0.3,4.5
7349AB,10977,11002,1/1/2018,1,1,0600_0900,2495.0,831.6666666666666,68.09416666666667,12.223813266170723,0,0,936.3000000000001,873.6,2.664744205916907,0.25,809.7116630513891,0.0004022863481627097,0.9651255250492832,0.5547765374641046,0.37,5.64,101,0.3,4.5
7496AB,11084,11085,1/1/2018,1,1,0600_0900,4551.333333333333,1517.111111111111,63.32777777916667,24.035416344931615,0,0,1634.0,1274.6666666666667,2.785393716850265,0.25,4471.316319785851,0.0015224964586962582,0.9651255250492832,0.9681777872651359,0.37,5.64,101,0.3,4.5
7596AB,11142,37380,1/1/2018,1,1,0600_0900,3393.6666666666665,1131.2222222222222,30.055555555833333,42.08409132867935,0,11,3393.6666666666665,1131.2222222222222,1.0,3.0,37.96201274660538,0.025168803264864578,0.9651255250492832,2.010815596113086,0.37,5.64,101,0.3,4.5
7922AB,11272,11293,1/1/2018,1,1,0600_0900,3579.3999999999996,1193.1333333333332,61.89000000000001,19.297879094980782,0,0,1140.2,1030.8,3.1392738116119974,0.25,4455.967574123401,0.0018762259449423904,0.9651255250492832,0.6755913788492706,0.37,5.64,101,0.3,4.5
7925AB,11295,11273,1/1/2018,1,1,0600_0900,3973.3999999999996,1324.4666666666665,35.75333333333334,37.28693415703352,0,11,3973.3999999999996,1324.4666666666665,1.0,3.0,24.662170067349646,0.013965340175048252,0.9651255250492832,2.354319228836775,0.37,5.64,101,0.3,4.5
9417AB,12001,12002,1/1/2018,1,1,0600_0900,3905.4166668000003,1301.8055556000002,65.13402777750001,20.001285958571028,0,0,1304.25,1112.3333336,2.994377356181714,0.25,2745.6696194303368,0.001071348711250476,0.9651255250492832,0.7727942956184538,0.37,5.64,101,0.3,4.5
9419AB,12005,12006,1/1/2018,1,1,0600_0900,4809.166666666667,1603.0555555555557,36.38611111083333,45.01301794502094,0,11,4809.166666666667,1603.0555555555557,1.0,3.0,30.70414073937732,0.014365132558710586,0.9651255250492832,2.8495277490346287,0.37,5.64,101,0.3,4.5
10072AB,12413,12466,1/1/2018,1,1,0900_1400,6195.499999999999,1239.1,66.79499999900001,18.559538823369742,0,0,1243.6666666666665,1230.0,4.981640310908603,0.25,1959.2618592322785,0.000691361033209222,0.7742306109114488,0.7368974549747495,0.38,4.49,101,0.3,4.5
10076AB,12467,12451,1/1/2018,1,1,0900_1400,6728.333333333334,1345.6666666666667,66.76250000099999,20.17596118518698,0,0,1289.3333333333333,1390.0,5.218459152016547,0.25,2234.742657859081,0.0006977988415077568,0.7742306109114488,0.7639558713059049,0.38,4.49,101,0.3,4.5
10080AB,12469,12470,1/1/2018,1,1,0900_1400,6676.000000000001,1335.2000000000003,56.134166666,25.478947867630573,17,19,1463.1666666666667,1498.6666666666667,4.5627064585943735,0.75,581.85483435918,0.004549785146894999,0.7742306109114488,0.8669556093839891,0.38,4.49,101,0.3,4.5
10085AB,12478,12479,1/1/2018,1,1,0900_1400,6523.166666666666,1304.6333333333332,62.0716666675,21.055791715532912,0,0,1324.6666666666667,1358.0,4.924383492702566,0.25,5769.049539797693,0.0018438348686659084,0.7742306109114488,0.7848915802920544,0.38,4.49,101,0.3,4.5
10360AB,12596,12614,1/1/2018,1,1,0900_1400,6399.666666666668,1279.9333333333336,56.73000000049999,22.862844165239334,17,19,975.8333333333335,1301.1111111111113,6.558155422715628,0.75,394.70077535678297,0.003554961349351897,0.7742306109114488,0.5782008307259662,0.38,4.49,101,0.3,4.5
10363AB,12612,12591,1/1/2018,1,1,0900_1400,6801.5999999999985,1360.3199999999997,59.64699999999999,22.819174002104877,0,0,1330.9,1328.4,5.110526711248026,0.25,7646.770215296521,0.0024984271934074443,0.7742306109114488,0.7885849553679128,0.38,4.49,101,0.3,4.5
10519AB,12682,12698,1/1/2018,1,1,0900_1400,5223.199999999999,1044.6399999999999,56.6315,18.688099648591947,0,1,1032.2,1037.4,5.060259639604727,0.5,1077.35162782838,0.0036059420313215586,0.7742306109114488,0.6115992117595308,0.38,4.49,101,0.3,4.5
10520AB,12699,12683,1/1/2018,1,1,0900_1400,5452.125,1090.425,61.168124999999996,17.832100814640146,0,0,1053.75,1024.0,5.174021352313167,0.25,4890.765540282346,0.0020729766592586713,0.7742306109114488,0.6243680191741965,0.38,4.49,101,0.3,4.5
11352AB,13120,13121,1/1/2018,1,1,0900_1400,6324.1,1264.8200000000002,70.9315,17.85804765805803,0,0,1360.9,1468.0,4.64699830994195,0.25,198.090894664007,5.85674051832635e-05,0.7742306109114488,0.806360557337285,0.38,4.49,101,0.3,4.5
11533AB,13109,13237,1/1/2018,1,1,0900_1400,4833.333333333334,966.6666666666667,70.3350000005,13.749526489814025,0,0,1048.9166666666667,1084.6666666666667,4.607928815444507,0.25,59.499004062344476,2.3808439317612487e-05,0.7742306109114488,0.6215041721902421,0.38,4.49,101,0.3,4.5
11877AB,13389,9486,1/1/2018,1,1,0900_1400,5019.500000000001,1003.9000000000002,73.534,13.651669331137379,0,0,885.1999999999999,774.0,5.670469950293721,0.25,0.0,0.0,0.7742306109114488,0.5244987621096072,0.38,4.49,101,0.3,4.5
