o_zone_id,d_zone_id,volume
278,314,35
495,314,10
589,314,4
1032,314,12
1103,314,1
1459,314,2
1786,314,4
1804,314,4
2529,314,2
3280,314,4
3335,314,2
4173,314,2
4258,314,1
4896,314,4
589,425,12
1275,425,4
1459,425,4
1786,425,2
1804,425,2
2529,425,2
5445,425,1
315,494,2
495,494,2
589,494,14
1103,494,1
1275,494,6
1459,494,11
1786,494,7
1804,494,7
2087,494,3
2446,494,3
2529,494,5
3211,494,2
3280,494,18
3335,494,19
4109,494,9
4173,494,13
4258,494,9
4458,494,2
278,550,7
315,550,10
495,550,2
1032,550,2
1275,550,25
1459,550,5
1786,550,7
1804,550,7
2446,550,2
2529,550,4
3211,550,1
3335,550,1
3729,550,1
4173,550,2
4896,550,4
5048,550,1
5391,550,3
589,654,63
1275,654,24
1459,654,27
1786,654,21
1804,654,21
2173,654,1
2189,654,1
2446,654,3
2529,654,33
3211,654,6
4896,654,16
5048,654,2
5391,654,8
5445,654,2
495,1103,2
1174,1103,102
1275,1103,2
1459,1103,2
1786,1103,3
1804,1103,3
2087,1103,2
2173,1103,1
2189,1103,1
2529,1103,1
3280,1103,21
3335,1103,75
3729,1103,1
4109,1103,6
4173,1103,34
4258,1103,5
4458,1103,1
4896,1103,2
5391,1103,1
278,1272,22
315,1272,6
495,1272,14
589,1272,22
1032,1272,9
1275,1272,9
1459,1272,21
1786,1272,6
1804,1272,6
2173,1272,6
2189,1272,6
2446,1272,8
2529,1272,45
3211,1272,29
3280,1272,1
3335,1272,7
4109,1272,1
4173,1272,3
4896,1272,24
5048,1272,5
5391,1272,6
5445,1272,2
278,1424,13
495,1424,8
589,1424,2
1032,1424,3
1275,1424,13
1459,1424,95
1786,1424,29
1804,1424,29
2173,1424,5
2189,1424,5
2446,1424,12
2529,1424,35
3211,1424,37
3280,1424,2
3335,1424,4
3729,1424,1
4109,1424,7
4173,1424,3
4896,1424,32
5048,1424,8
5391,1424,4
5445,1424,3
278,1470,6
315,1470,1
589,1470,1
1032,1470,3
1103,1470,1
1275,1470,5
1459,1470,31
2173,1470,2
2189,1470,2
2446,1470,3
2529,1470,5
3211,1470,12
3280,1470,3
3335,1470,2
4109,1470,10
4173,1470,2
4896,1470,17
5048,1470,1
5391,1470,2
5445,1470,1
3280,2086,1
3335,2086,5
3729,2086,4
4173,2086,6
278,2430,1
1275,2430,6
1459,2430,11
1786,2430,7
1804,2430,7
2173,2430,6
2189,2430,6
2446,2430,6
2529,2430,16
3211,2430,45
4109,2430,12
4173,2430,11
4896,2430,81
5048,2430,25
5391,2430,27
5445,2430,9
278,2527,16
315,2527,1
495,2527,5
589,2527,7
1032,2527,3
1103,2527,2
1275,2527,58
1459,2527,52
1786,2527,8
1804,2527,8
2173,2527,12
2189,2527,12
2446,2527,22
2529,2527,4
3211,2527,47
3280,2527,3
3335,2527,2
3729,2527,1
4109,2527,14
4173,2527,1
4896,2527,53
5048,2527,2
5391,2527,11
5445,2527,4
278,3197,1
315,3197,1
495,3197,1
589,3197,4
1032,3197,1
1275,3197,16
1459,3197,43
1786,3197,20
1804,3197,20
2446,3197,76
2529,3197,32
5391,3197,1
495,3279,13
589,3279,2
1103,3279,2
1174,3279,18
1275,3279,1
1459,3279,5
1611,3279,6
2087,3279,2
2446,3279,1
3335,3279,5
4109,3279,2
4173,3279,14
4258,3279,10
4458,3279,7
4896,3279,4
5391,3279,5
495,3334,18
589,3334,11
1103,3334,5
1174,3334,38
1275,3334,2
1459,3334,4
1611,3334,21
1786,3334,5
1804,3334,5
2087,3334,2
2529,3334,3
3280,3334,7
3729,3334,1
4109,3334,4
4173,3334,8
4258,3334,18
4458,3334,7
4896,3334,2
5391,3334,2
2087,3396,1
3280,3396,9
3335,3396,31
3729,3396,1
4109,3396,6
4173,3396,5
4258,3396,3
4458,3396,4
4896,3396,4
5391,3396,2
2087,3729,3
2446,3729,1
2529,3729,1
4109,3729,1
4173,3729,5
4258,3729,28
4458,3729,1
4896,3729,1
1174,3909,2
3280,3909,6
3335,3909,5
3729,3909,8
4109,3909,25
4173,3909,49
589,3976,1
1275,3976,3
1459,3976,3
1786,3976,3
1804,3976,3
2446,3976,24
2529,3976,14
5391,3976,1
5445,3976,31
278,4108,2
315,4108,1
495,4108,6
1103,4108,2
1174,4108,3
1275,4108,1
1459,4108,9
1611,4108,4
1786,4108,6
1804,4108,6
2087,4108,8
2446,4108,27
2529,4108,5
3211,4108,1
3280,4108,5
3335,4108,9
3729,4108,6
4109,4108,1
4173,4108,17
4258,4108,95
4458,4108,48
4896,4108,8
5048,4108,8
5391,4108,28
495,4172,4
589,4172,1
1103,4172,1
1174,4172,26
1275,4172,4
1459,4172,2
1611,4172,8
1786,4172,1
1804,4172,1
2087,4172,7
2446,4172,11
2529,4172,5
3280,4172,5
3335,4172,8
3729,4172,1
4109,4172,9
4258,4172,33
4458,4172,10
4896,4172,3
5048,4172,2
5391,4172,3
495,4377,5
1103,4377,1
1174,4377,1
1611,4377,1
3280,4377,4
3335,4377,4
3729,4377,2
4109,4377,38
4173,4377,7
589,5048,1
1275,5048,1
1459,5048,7
1786,5048,2
1804,5048,2
2446,5048,31
2529,5048,3
3335,5048,2
4896,5048,11
5391,5048,16
278,5213,7
495,5213,3
589,5213,6
1275,5213,16
1459,5213,40
1611,5213,2
1786,5213,48
1804,5213,48
2446,5213,123
2529,5213,44
3211,5213,1
3280,5213,2
3335,5213,5
3729,5213,3
4109,5213,18
4173,5213,4
5048,5213,9
5391,5213,66
278,5238,2
495,5238,1
1275,5238,5
1459,5238,4
1611,5238,1
1786,5238,4
1804,5238,4
2173,5238,3
2189,5238,3
2446,5238,25
2529,5238,5
3280,5238,1
3335,5238,3
3729,5238,1
4109,5238,16
4173,5238,17
4896,5238,48
5048,5238,13
1275,5444,1
1459,5444,6
1786,5444,2
1804,5444,2
2173,5444,25
2189,5444,25
2446,5444,14
2529,5444,3
278,5603,2
495,5603,1
1275,5603,5
1459,5603,4
1611,5603,1
1786,5603,4
1804,5603,4
2173,5603,3
2189,5603,3
2446,5603,25
2529,5603,5
3280,5603,1
3335,5603,3
3729,5603,1
4109,5603,16
4173,5603,17
4896,5603,48
5048,5603,13
