node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
1,,1,0,120.02522,30.23800238,POINT(120.02521997851562 30.238002382812503)
2,,1,0,120.0324002,30.23911239,POINT(120.03240017382812 30.239112388671877)
3,,1,0,120.0262525,30.23816141,POINT(120.0262525078125 30.238161406249997)
4,,1,0,120.0272761,30.23831905,POINT(120.02727605859374 30.238319046875)
5,,1,0,120.0282996,30.23847669,POINT(120.028299609375 30.238476687499997)
6,,1,0,120.0293232,30.23863433,POINT(120.02932316015625 30.238634328124995)
7,,1,0,120.030345,30.238795,POINT(120.030345 30.238795)
8,,1,0,120.0313671,30.23895285,POINT(120.03136709179687 30.238952845703125)
9,,1,0,120.0405903,30.24039038,POINT(120.04059033203126 30.24039037695313)
10,,1,0,120.04161,30.240549,POINT(120.04161 30.240549)
11,,1,0,120.0334223,30.23927023,POINT(120.033422265625 30.239270234375)
12,,1,0,120.0344444,30.23942808,POINT(120.03444435742188 30.239428080078127)
13,,1,0,120.0354664,30.23958593,POINT(120.03546644921875 30.23958592578125)
14,,1,0,120.0364993,30.23974281,POINT(120.03649931249998 30.239742812500005)
15,,1,0,120.0375183,30.23990551,POINT(120.03751827343748 30.2399055078125)
16,,1,0,120.0015887,30.23488924,POINT(120.0015886640625 30.2348892421875)
17,,1,0,120.0025885,30.23512827,POINT(120.002588484375 30.235128265625)
18,,1,0,120.0036011,30.23533958,POINT(120.00360107812499 30.235339578125)
19,,1,0,120.0046137,30.23553687,POINT(120.00461368750001 30.235536874999998)
20,,1,0,120.00564,30.23570823,POINT(120.00564001562502 30.235708234375004)
21,,1,0,120.0066665,30.23586497,POINT(120.00666646875001 30.23586496875)
22,,1,0,120.0076891,30.2359948,POINT(120.007689140625 30.235994796874998)
23,,1,0,120.0087266,30.23610898,POINT(120.00872658789062 30.236108984375)
24,,1,0,120.0097579,30.23619659,POINT(120.00975791015625 30.23619659375)
25,,1,0,120.0108008,30.23628519,POINT(120.01080082031248 30.236285187500002)
26,,1,0,120.0385425,30.24007046,POINT(120.03854251953126 30.240070464843754)
27,,1,0,120.0118321,30.2363728,POINT(120.01183214257811 30.236372796875003)
28,,1,0,120.0128635,30.23646041,POINT(120.01286346484375 30.236460406250004)
29,,1,0,120.0139064,30.236549,POINT(120.01390637499999 30.236549)
30,,1,0,120.0149403,30.23663643,POINT(120.01494032421874 30.236636433593752)
31,,1,0,120.0159732,30.23672277,POINT(120.015973203125 30.236722765625)
32,,1,0,120.0170138,30.23682395,POINT(120.017013796875 30.236823953125004)
33,,1,0,120.0180396,30.23693434,POINT(120.01803963281247 30.23693434375)
