o_zone_id,d_zone_id,volume
278,314,30
495,314,6
589,314,1
1032,314,6
1275,314,3
2529,314,1
3280,314,2
3335,314,2
3729,314,1
315,425,7
589,425,3
3211,425,1
5391,425,1
315,494,5
1275,494,5
1459,494,4
1786,494,4
1804,494,4
2529,494,1
3280,494,6
3335,494,12
4109,494,1
4173,494,1
4258,494,1
278,550,3
495,550,3
1275,550,19
1459,550,1
2446,550,1
2529,550,1
4109,550,1
4896,550,2
315,654,45
589,654,3
1275,654,14
1459,654,3
1786,654,5
1804,654,5
2446,654,1
2529,654,3
3211,654,2
4896,654,2
5445,654,1
1174,1103,36
3211,1103,2
3280,1103,8
3335,1103,9
3729,1103,1
4109,1103,1
4173,1103,14
4258,1103,1
4458,1103,1
278,1272,9
315,1272,1
495,1272,1
589,1272,37
1275,1272,1
1459,1272,22
1786,1272,3
1804,1272,3
2173,1272,1
2189,1272,1
2446,1272,3
2529,1272,17
3211,1272,6
3280,1272,2
3335,1272,1
4109,1272,1
4896,1272,20
5391,1272,1
278,1424,1
589,1424,3
1275,1424,15
1459,1424,14
1786,1424,12
1804,1424,12
2173,1424,2
2189,1424,2
2446,1424,6
2529,1424,23
3211,1424,12
4109,1424,8
4173,1424,1
4896,1424,12
5048,1424,4
5391,1424,2
5445,1424,3
589,1470,2
1275,1470,7
1459,1470,11
1786,1470,1
1804,1470,1
2446,1470,1
2529,1470,2
3211,1470,11
4896,1470,10
5391,1470,1
3280,2086,1
3729,2086,1
4173,2086,1
1275,2430,4
1459,2430,4
1786,2430,4
1804,2430,4
2173,2430,5
2189,2430,5
2446,2430,2
2529,2430,13
3211,2430,17
4109,2430,4
4173,2430,3
4896,2430,33
5048,2430,9
5391,2430,8
5445,2430,4
278,2527,1
315,2527,1
589,2527,2
1275,2527,19
1459,2527,28
2173,2527,2
2189,2527,2
2446,2527,12
2529,2527,2
3211,2527,23
4109,2527,2
4896,2527,12
5048,2527,1
5391,2527,2
5445,2527,1
315,3197,1
589,3197,1
1275,3197,3
1459,3197,35
1786,3197,3
1804,3197,3
2446,3197,22
2529,3197,18
3211,3197,1
315,3279,1
495,3279,2
1103,3279,1
1174,3279,14
1275,3279,1
1611,3279,1
2446,3279,1
3335,3279,4
4109,3279,4
4173,3279,4
4258,3279,2
4458,3279,2
5391,3279,1
315,3334,2
495,3334,10
1174,3334,35
1611,3334,8
3280,3334,2
4109,3334,4
4173,3334,7
4258,3334,6
4458,3334,2
4896,3334,4
3280,3396,4
3335,3396,6
4109,3396,1
4173,3396,1
4258,3396,1
4458,3396,1
2087,3729,2
4109,3729,5
4173,3729,1
4258,3729,6
4458,3729,2
4896,3729,1
4109,3909,5
4173,3909,11
1275,3976,1
1459,3976,9
2446,3976,4
2529,3976,2
5445,3976,20
495,4108,9
1174,4108,1
1275,4108,3
1459,4108,8
1611,4108,3
1786,4108,1
1804,4108,1
2087,4108,4
2446,4108,6
2529,4108,2
3280,4108,3
3335,4108,2
3729,4108,1
4109,4108,7
4173,4108,6
4258,4108,44
4458,4108,20
4896,4108,11
5391,4108,11
495,4172,3
1174,4172,4
1275,4172,1
3211,4172,1
3280,4172,2
3335,4172,2
3729,4172,1
4109,4172,5
4258,4172,12
4458,4172,3
5048,4172,1
5391,4172,2
495,4377,6
1174,4377,1
3335,4377,3
3729,4377,2
4109,4377,12
4173,4377,1
1275,5048,1
1459,5048,3
2446,5048,11
2529,5048,7
3211,5048,1
4109,5048,1
4896,5048,11
5391,5048,6
278,5213,3
495,5213,1
589,5213,10
1275,5213,30
1459,5213,26
1611,5213,1
1786,5213,11
1804,5213,11
2446,5213,41
2529,5213,36
3280,5213,1
3335,5213,5
3729,5213,2
4109,5213,11
4896,5213,2
5048,5213,14
5391,5213,37
589,5238,2
1275,5238,7
1459,5238,8
1786,5238,3
1804,5238,3
2173,5238,2
2189,5238,2
2446,5238,25
2529,5238,3
3211,5238,1
3280,5238,3
3335,5238,2
3729,5238,1
4109,5238,16
4173,5238,1
4896,5238,56
5048,5238,14
5391,5238,1
1459,5444,4
1786,5444,1
1804,5444,1
2173,5444,33
2189,5444,33
2446,5444,5
589,5603,2
1275,5603,7
1459,5603,8
1786,5603,3
1804,5603,3
2173,5603,2
2189,5603,2
2446,5603,25
2529,5603,3
3211,5603,1
3280,5603,3
3335,5603,2
3729,5603,1
4109,5603,16
4173,5603,1
4896,5603,56
5048,5603,14
5391,5603,1
