o_zone_id,d_zone_id,volume
278,314,10
495,314,3
1032,314,8
1103,314,3
1275,314,1
1459,314,2
1786,314,1
1804,314,1
2446,314,1
2529,314,3
3280,314,2
3335,314,6
4173,314,2
5391,314,1
315,425,4
1275,425,7
1459,425,3
1786,425,2
1804,425,2
2529,425,3
4896,425,1
5391,425,1
315,494,4
495,494,1
1275,494,11
1459,494,7
1786,494,4
1804,494,4
2087,494,1
2446,494,1
2529,494,3
3280,494,5
3335,494,3
3729,494,1
4109,494,1
4173,494,4
4258,494,1
4458,494,3
4896,494,1
5048,494,1
5391,494,1
495,550,1
1275,550,1
1459,550,3
1786,550,5
1804,550,5
2529,550,2
3211,550,1
4896,550,4
315,654,10
589,654,1
1275,654,30
1459,654,30
1786,654,10
1804,654,10
2446,654,2
2529,654,11
4896,654,6
5048,654,3
5391,654,1
5445,654,1
315,1103,5
495,1103,3
1174,1103,9
1275,1103,1
1459,1103,2
2529,1103,1
3280,1103,4
3335,1103,10
4173,1103,2
4458,1103,2
4896,1103,1
278,1272,12
315,1272,1
495,1272,1
589,1272,2
1032,1272,2
1103,1272,1
1459,1272,5
1786,1272,4
1804,1272,4
2446,1272,1
2529,1272,22
3211,1272,8
3280,1272,2
3335,1272,3
4109,1272,3
4173,1272,1
4896,1272,30
5048,1272,2
5391,1272,5
5445,1272,4
278,1424,7
495,1424,2
1032,1424,3
1275,1424,8
1459,1424,27
1786,1424,2
1804,1424,2
2173,1424,3
2189,1424,3
2446,1424,3
2529,1424,13
3211,1424,10
3335,1424,3
4109,1424,4
4896,1424,13
5391,1424,1
5445,1424,1
278,1470,7
315,1470,1
589,1470,2
1275,1470,4
1459,1470,5
2173,1470,3
2189,1470,3
3211,1470,6
3280,1470,1
4109,1470,4
4896,1470,6
5391,1470,1
3335,2086,1
4109,2086,2
4173,2086,2
1275,2430,3
1459,2430,7
1786,2430,4
1804,2430,4
2173,2430,4
2189,2430,4
2446,2430,1
2529,2430,6
3211,2430,6
3729,2430,3
4109,2430,3
4173,2430,1
4896,2430,27
5048,2430,4
5391,2430,12
5445,2430,6
278,2527,3
315,2527,1
495,2527,1
589,2527,2
1103,2527,1
1275,2527,17
1459,2527,36
1786,2527,2
1804,2527,2
2173,2527,7
2189,2527,7
2446,2527,4
2529,2527,2
3211,2527,7
4109,2527,5
4896,2527,17
5391,2527,2
1275,3197,9
1459,3197,20
1786,3197,12
1804,3197,12
2529,3197,11
4896,3197,1
5391,3197,4
315,3279,1
495,3279,4
1103,3279,1
1174,3279,3
1275,3279,6
1459,3279,4
1611,3279,4
1786,3279,1
1804,3279,1
3335,3279,2
4109,3279,2
4258,3279,1
4458,3279,1
4896,3279,2
5391,3279,2
315,3334,5
495,3334,2
1103,3334,1
1174,3334,1
1275,3334,8
1459,3334,8
1611,3334,9
1786,3334,4
1804,3334,4
4109,3334,6
4173,3334,5
4258,3334,4
4458,3334,3
4896,3334,3
5391,3334,2
3280,3396,2
3335,3396,13
4109,3396,1
4173,3396,1
4258,3396,1
4896,3396,2
2087,3729,1
4896,3729,1
495,3909,1
3335,3909,1
3729,3909,2
4109,3909,10
4173,3909,7
1275,3976,2
1459,3976,4
1786,3976,1
1804,3976,1
2529,3976,9
5445,3976,30
495,4108,1
1103,4108,1
1174,4108,1
1275,4108,3
1459,4108,12
1611,4108,3
1786,4108,10
1804,4108,10
2087,4108,1
2446,4108,1
2529,4108,2
3335,4108,6
3729,4108,1
4258,4108,20
4458,4108,10
4896,4108,19
5048,4108,5
5391,4108,25
1103,4172,2
1459,4172,5
1611,4172,2
1786,4172,3
1804,4172,3
2446,4172,1
2529,4172,1
3280,4172,4
3335,4172,1
4258,4172,4
4458,4172,2
5391,4172,1
495,4377,1
1611,4377,1
3280,4377,1
3335,4377,1
3729,4377,2
4109,4377,14
4173,4377,2
1275,5048,2
1459,5048,6
1786,5048,2
1804,5048,2
2446,5048,2
2529,5048,1
4896,5048,11
5391,5048,7
278,5213,2
589,5213,3
1103,5213,1
1174,5213,1
1275,5213,10
1459,5213,31
1611,5213,2
1786,5213,20
1804,5213,20
2446,5213,20
2529,5213,22
3335,5213,1
3729,5213,1
4109,5213,8
4173,5213,1
5048,5213,6
5391,5213,84
315,5238,1
1275,5238,3
1459,5238,3
1611,5238,1
1786,5238,1
1804,5238,1
2446,5238,10
3729,5238,1
4109,5238,9
4173,5238,2
4896,5238,34
5048,5238,4
5391,5238,1
1459,5444,2
2173,5444,4
2189,5444,4
2446,5444,1
315,5603,1
1275,5603,3
1459,5603,3
1611,5603,1
1786,5603,1
1804,5603,1
2446,5603,10
3729,5603,1
4109,5603,9
4173,5603,2
4896,5603,34
5048,5603,4
5391,5603,1
