o_zone_id,d_zone_id,volume
278,314,42
495,314,12
589,314,1
1032,314,18
1103,314,2
1275,314,3
1786,314,1
1804,314,1
2446,314,1
3280,314,2
3335,314,4
4109,314,1
4173,314,3
4896,314,1
5391,314,1
278,425,1
315,425,9
589,425,5
1275,425,2
1459,425,2
1786,425,2
1804,425,2
2529,425,1
4896,425,1
5391,425,1
315,494,3
589,494,2
1275,494,9
1459,494,8
1786,494,9
1804,494,9
2446,494,1
2529,494,7
3211,494,1
3280,494,4
3335,494,18
4109,494,2
4173,494,9
4258,494,4
278,550,3
315,550,2
1032,550,1
1275,550,24
1786,550,6
1804,550,6
2173,550,1
2189,550,1
2529,550,1
3211,550,2
3280,550,1
4896,550,4
5048,550,1
315,654,16
589,654,8
1275,654,31
1459,654,13
1786,654,18
1804,654,18
2173,654,1
2189,654,1
2529,654,10
3211,654,3
4896,654,4
5048,654,2
5391,654,1
5445,654,1
495,1103,3
589,1103,2
1174,1103,60
1459,1103,1
2087,1103,1
2529,1103,2
3280,1103,14
3335,1103,18
3729,1103,3
4109,1103,3
4173,1103,20
4258,1103,3
278,1272,17
315,1272,2
495,1272,10
589,1272,31
1032,1272,3
1103,1272,2
1275,1272,2
1459,1272,20
1786,1272,14
1804,1272,14
2173,1272,3
2189,1272,3
2446,1272,4
2529,1272,35
3211,1272,13
3280,1272,1
3335,1272,3
4109,1272,2
4173,1272,2
4896,1272,22
5048,1272,1
5391,1272,12
5445,1272,2
278,1424,10
315,1424,1
495,1424,3
589,1424,3
1032,1424,3
1103,1424,1
1275,1424,16
1459,1424,50
1786,1424,32
1804,1424,32
2173,1424,4
2189,1424,4
2446,1424,12
2529,1424,34
3211,1424,27
3335,1424,2
4109,1424,13
4173,1424,2
4896,1424,41
5048,1424,5
5391,1424,8
5445,1424,1
278,1470,8
315,1470,3
495,1470,6
589,1470,1
1275,1470,6
1459,1470,13
2446,1470,5
2529,1470,2
3211,1470,11
3335,1470,1
4109,1470,5
4173,1470,1
4896,1470,19
5048,1470,1
5391,1470,4
5445,1470,1
1103,2086,2
3729,2086,4
4109,2086,3
4173,2086,5
4258,2086,3
278,2430,1
315,2430,1
589,2430,1
1275,2430,6
1459,2430,12
1786,2430,7
1804,2430,7
2173,2430,4
2189,2430,4
2446,2430,3
2529,2430,9
3211,2430,13
3335,2430,1
3729,2430,1
4109,2430,10
4173,2430,6
4896,2430,57
5048,2430,11
5391,2430,24
5445,2430,10
278,2527,20
315,2527,1
495,2527,7
589,2527,8
1032,2527,1
1275,2527,67
1459,2527,37
1786,2527,6
1804,2527,6
2173,2527,4
2189,2527,4
2446,2527,20
2529,2527,2
3211,2527,48
3280,2527,1
4109,2527,7
4173,2527,3
4896,2527,48
5048,2527,2
5391,2527,4
5445,2527,1
278,3197,2
589,3197,2
1275,3197,17
1459,3197,48
1786,3197,9
1804,3197,9
2446,3197,67
2529,3197,26
315,3279,1
495,3279,9
589,3279,1
1103,3279,1
1174,3279,9
1275,3279,2
1459,3279,2
1611,3279,3
1786,3279,1
1804,3279,1
2087,3279,1
3335,3279,4
4109,3279,3
4173,3279,7
4258,3279,6
4458,3279,2
4896,3279,1
5391,3279,1
315,3334,1
495,3334,7
1103,3334,1
1174,3334,16
1275,3334,4
1459,3334,6
1611,3334,10
1786,3334,2
1804,3334,2
2087,3334,2
2446,3334,1
2529,3334,2
3280,3334,3
4109,3334,9
4173,3334,9
4258,3334,7
4458,3334,4
4896,3334,3
5391,3334,2
3280,3396,2
3335,3396,14
4109,3396,1
4173,3396,1
4258,3396,3
4458,3396,1
2087,3729,9
4109,3729,3
4173,3729,7
4258,3729,13
4458,3729,4
5391,3729,1
1174,3909,2
3280,3909,4
3335,3909,5
3729,3909,6
4109,3909,28
4173,3909,28
1275,3976,5
1459,3976,9
1786,3976,2
1804,3976,2
2446,3976,9
2529,3976,7
5391,3976,1
5445,3976,14
495,4108,6
1174,4108,5
1275,4108,3
1459,4108,7
1611,4108,1
1786,4108,3
1804,4108,3
2087,4108,5
2446,4108,12
2529,4108,5
3280,4108,3
3335,4108,7
3729,4108,2
4109,4108,2
4173,4108,11
4258,4108,105
4458,4108,34
4896,4108,9
5048,4108,1
5391,4108,27
315,4172,1
495,4172,5
1174,4172,7
1459,4172,2
1611,4172,2
2087,4172,2
2446,4172,4
2529,4172,3
3280,4172,4
3335,4172,9
3729,4172,2
4109,4172,11
4258,4172,47
4458,4172,8
4896,4172,2
5048,4172,1
5391,4172,5
495,4377,5
1611,4377,3
3280,4377,3
3335,4377,2
4109,4377,22
4173,4377,5
495,5048,1
589,5048,1
1275,5048,4
1459,5048,5
1786,5048,2
1804,5048,2
2446,5048,22
2529,5048,1
4109,5048,1
4173,5048,1
4896,5048,11
5391,5048,15
278,5213,2
315,5213,2
589,5213,3
1275,5213,18
1459,5213,31
1786,5213,29
1804,5213,29
2446,5213,102
2529,5213,39
3280,5213,8
3335,5213,5
3729,5213,1
4109,5213,20
4173,5213,8
4896,5213,1
5048,5213,5
5391,5213,47
315,5238,1
589,5238,1
1275,5238,3
1459,5238,7
1786,5238,1
1804,5238,1
2446,5238,29
2529,5238,5
3729,5238,1
4109,5238,24
4173,5238,9
4896,5238,65
5048,5238,11
1032,5444,1
1459,5444,2
2173,5444,33
2189,5444,33
2446,5444,9
2529,5444,1
315,5603,1
589,5603,1
1275,5603,3
1459,5603,7
1786,5603,1
1804,5603,1
2446,5603,29
2529,5603,5
3729,5603,1
4109,5603,24
4173,5603,9
4896,5603,65
5048,5603,11
