o_zone_id,d_zone_id,volume
278,314,2
495,314,2
1032,314,2
4173,314,1
1459,425,2
2529,425,1
315,494,1
495,494,1
1275,494,1
1459,494,6
1786,494,1
1804,494,1
3211,494,1
3280,494,2
3335,494,1
4173,494,1
4458,494,1
4896,494,1
278,550,1
1275,550,5
1786,550,1
1804,550,1
2529,550,1
4896,550,3
315,654,7
589,654,1
1275,654,5
1459,654,5
2529,654,1
3211,654,1
4896,654,3
5048,654,1
315,1103,1
495,1103,1
1174,1103,12
3280,1103,2
4109,1103,1
4173,1103,1
4896,1103,1
278,1272,7
589,1272,4
1032,1272,1
1459,1272,2
1786,1272,1
1804,1272,1
2446,1272,1
2529,1272,5
3211,1272,2
3335,1272,3
4109,1272,2
4896,1272,10
5048,1272,2
5391,1272,1
278,1424,16
495,1424,2
589,1424,3
1032,1424,5
1103,1424,2
1275,1424,4
1459,1424,10
1786,1424,6
1804,1424,6
2173,1424,1
2189,1424,1
2529,1424,27
3211,1424,3
3335,1424,1
4109,1424,2
4896,1424,11
5048,1424,1
5391,1424,7
5445,1424,2
278,1470,2
315,1470,1
1459,1470,6
2173,1470,2
2189,1470,2
4896,1470,4
4109,2086,2
1459,2430,4
2173,2430,3
2189,2430,3
2446,2430,4
2529,2430,2
3211,2430,5
4109,2430,2
4896,2430,11
5391,2430,5
5445,2430,1
278,2527,4
495,2527,1
1275,2527,5
1459,2527,22
1786,2527,1
1804,2527,1
2173,2527,3
2189,2527,3
2446,2527,3
3211,2527,7
4109,2527,3
4896,2527,3
5048,2527,2
5391,2527,2
1275,3197,5
1459,3197,14
1786,3197,2
1804,3197,2
2446,3197,3
2529,3197,2
5391,3197,1
495,3279,1
1459,3279,1
4258,3279,1
4896,3279,2
5391,3279,2
495,3334,1
1174,3334,2
1275,3334,2
1459,3334,2
1611,3334,1
1786,3334,1
1804,3334,1
2087,3334,1
3280,3334,1
4109,3334,1
4173,3334,2
4258,3334,3
4458,3334,1
4896,3334,1
3280,3396,2
3335,3396,1
4109,3396,1
2087,3729,1
4258,3729,1
4458,3729,1
5391,3729,1
3729,3909,1
4109,3909,3
1786,3976,1
1804,3976,1
2446,3976,2
5445,3976,4
1275,4108,4
1459,4108,1
2529,4108,2
4258,4108,10
4458,4108,13
4896,4108,5
5391,4108,10
495,4172,2
1611,4172,1
3280,4172,1
3335,4172,2
3729,4172,1
4109,4172,1
4258,4172,4
4109,4377,13
1459,5048,8
2446,5048,2
2529,5048,1
4109,5048,1
4896,5048,4
5391,5048,1
589,5213,1
1275,5213,9
1459,5213,9
1786,5213,1
1804,5213,1
2446,5213,10
2529,5213,12
3335,5213,3
3729,5213,2
4109,5213,7
5048,5213,3
5391,5213,35
1459,5238,11
2446,5238,4
3335,5238,2
4109,5238,9
4173,5238,3
4896,5238,39
5048,5238,2
5391,5238,1
2173,5444,6
2189,5444,6
2446,5444,2
1459,5603,11
2446,5603,4
3335,5603,2
4109,5603,9
4173,5603,3
4896,5603,39
5048,5603,2
5391,5603,1
